"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"99","b_indexC:expositionsouth:surveyYear_fac2021:targetTypedry_grassland",-0.0532362270970978,-0.0524515845239645,0.0296652581556728,0.0290902859390693,-0.101320562385651,-0.00355955348410424,1.0042946965751,515.732372732301,793.413186531462
"100","b_indexB:expositionsouth:surveyYear_fac2021:targetTypedry_grassland",0.062066700159662,0.0634456503987657,0.0291591125109399,0.0280762047636034,0.0134947965091211,0.110828291942954,1.00677432656727,443.156763511835,645.554456142866
"101","b_indexC:expositionsouth:surveyYear_fac2019:sandRatio25",0.10923454344948,0.109962092180787,0.0349737184942718,0.0358595599962395,0.0519359655457307,0.166739245254231,1.00523982399702,399.638668322372,588.110238101185
"102","b_indexB:expositionsouth:surveyYear_fac2019:sandRatio25",-0.0777892616937014,-0.0775385860695768,0.0362207093293869,0.0360292791521686,-0.13712759588992,-0.0171445938026269,1.00633027333955,366.485310257452,609.40594094944
"103","b_indexC:expositionsouth:surveyYear_fac2020:sandRatio25",0.114939704587624,0.113781641804833,0.0363585317728545,0.0358166479541068,0.0578149984616625,0.176447648488538,1.00510785721047,444.720276172498,730.918024285943
"104","b_indexB:expositionsouth:surveyYear_fac2020:sandRatio25",-0.05617191299661,-0.0569388026808762,0.0359230567604936,0.0360020907248561,-0.115818562698097,0.00320336286103153,1.00550104379373,452.296831610496,722.119707729291
"105","b_indexC:expositionsouth:surveyYear_fac2021:sandRatio25",0.0512795408677629,0.0495175026481001,0.0362558280063784,0.0354202960572189,-0.0079216736688298,0.113096097052775,1.0012209898718,475.466295651014,733.833754182289
"106","b_indexB:expositionsouth:surveyYear_fac2021:sandRatio25",-0.0285691930864052,-0.0278981578982478,0.037120377675124,0.0381125606136047,-0.087814774155829,0.0296290376398074,1.00374244098811,484.572090432059,613.855040559603
"107","b_indexC:expositionsouth:surveyYear_fac2019:sandRatio50",0.11465304602082,0.114727098103533,0.0364287512194171,0.0372569062163094,0.0543229575251759,0.175503287485943,1.01095635214089,315.520984848265,617.573683557486
"108","b_indexB:expositionsouth:surveyYear_fac2019:sandRatio50",-0.0748318507361042,-0.0742298964058383,0.036932352882462,0.0362062802399988,-0.133621673513431,-0.0132205719518628,1.01108973811473,329.746349591368,600.538456318364
"109","b_indexC:expositionsouth:surveyYear_fac2020:sandRatio50",0.124574742596116,0.123964283989769,0.0336309132871045,0.0356736741146704,0.0720198223600016,0.182144418267266,1.00791729482383,440.646608996226,788.008704370631
"110","b_indexB:expositionsouth:surveyYear_fac2020:sandRatio50",-0.0616468209758241,-0.0613808312643586,0.0359570900404824,0.0357343169034049,-0.121335866650053,-0.00150887509053027,1.00274334689982,461.642058975938,768.925466635172
"111","b_indexC:expositionsouth:surveyYear_fac2021:sandRatio50",0.0770311261178597,0.0767162139623242,0.0357864858168691,0.03694653951416,0.0186485348740781,0.136496219011884,1.00157993591617,550.690200017161,564.189166222376
"112","b_indexB:expositionsouth:surveyYear_fac2021:sandRatio50",-0.0496123780544338,-0.0490118742200477,0.0362570114995276,0.0353729603994574,-0.107189358423863,0.010092761892186,1.00253397323322,460.815118556229,867.174466918273
