block,x,y
6,12.891934873242947,48.840312974822595
5,12.888239527804705,48.839672298597655
4,12.884760281663016,48.839056831050094
3,12.88372243256246,48.83887447164485
2,12.881321384192649,48.83853374232065
1,12.87756703110047,48.83856037624896
