plot,name,seeded
L1_09,Holcus lanatus,8.6
L1_09,Knautia arvensis,3.3
L1_09,Lathyrus pratensis,1.7
L1_09,Medicago lupulina,1.7
L1_09,Poa pratensis,8.6
L1_09,Rhinanthus alectorolophus,5
L1_09,Sanguisorba minor,3.3
L1_09,Sanguisorba officinalis,3.3
L1_09,Silene latifolia ssp alba,3.3
L1_09,Trifolium pratense,1.7
L1_10,Agrostis capillaris,8.6
L1_10,Anthoxanthum odoratum,8.6
L1_10,Arrhenatherum elatius,8.6
L1_10,Centaurea scabiosa,3.3
L1_10,Cerastium fontanum ssp vulgare,3.3
L1_10,Cynosurus cristatus,8.6
L1_10,Festuca pratensis,8.6
L1_10,Festuca rubra,8.6
L1_10,Lathyrus pratensis,1.7
L1_10,Lotus corniculatus,1.7
L1_10,Medicago lupulina,1.7
L1_10,Phleum pratense,8.6
L1_10,Pimpinella major,3.3
L1_10,Prunella vulgaris,3.3
L1_10,Rhinanthus minor,5
L1_10,Sanguisorba minor,3.3
L1_10,Sanguisorba officinalis,3.3
L1_10,Silaum silaus,3.3
L1_10,Silene latifolia ssp alba,3.3
L1_10,Veronica chamaedrys,3.3
L1_11,Anthoxanthum odoratum,8.6
L1_11,Brachypodium pinnatum,8.6
L1_11,Bromus erectus,8.6
L1_11,Campanula rotundifolia,3.3
L1_11,Carlina vulgaris,3.3
L1_11,Festuca ovina,8.6
L1_11,Filipendula vulgaris,3.3
L1_11,Hypochaeris radicata,3.3
L1_11,Koeleria pyramidata,8.6
L1_11,Leucanthemum vulgare,3.3
L1_11,Medicago falcata,1.7
L1_11,Medicago lupulina,1.7
L1_11,Onobrychis viciifolia,1.7
L1_11,Origanum vulgare,3.3
L1_11,Phleum pratense,8.6
L1_11,Poa angustifolia,8.6
L1_11,Rhinanthus minor,5
L1_11,Salvia pratensis,3.3
L1_11,Sanguisorba minor,3.3
L1_11,Thymus praecox,3.3
L1_12,Agrostis capillaris,8.6
L1_12,Brachypodium pinnatum,8.6
L1_12,Bromus erectus,8.6
L1_12,Campanula rotundifolia,3.3
L1_12,Centaurea stoebe,3.3
L1_12,Echium vulgare,3.3
L1_12,Festuca pratensis,8.6
L1_12,Festuca rubra,8.6
L1_12,Filipendula vulgaris,3.3
L1_12,Hippocrepis comosa,1.7
L1_12,Koeleria pyramidata,8.6
L1_12,Medicago falcata,1.7
L1_12,Poa angustifolia,8.6
L1_12,Potentilla recta,3.3
L1_12,Prunella grandiflora,3.3
L1_12,Rhinanthus alectorolophus,5
L1_12,Sanguisorba minor,3.3
L1_12,Scabiosa columbaria,3.3
L1_12,Silene vulgaris,3.3
L1_12,Trifolium montanum,1.7
L1_13,Agrimonia eupatoria,3.3
L1_13,Agrostis capillaris,8.6
L1_13,Asperula cynanchica,3.3
L1_13,Brachypodium pinnatum,8.6
L1_13,Briza media,8.6
L1_13,Bromus erectus,8.6
L1_13,Carex flacca,8.6
L1_13,Festuca rubra,8.6
L1_13,Helictotrichon pubescens,8.6
L1_13,Hippocrepis comosa,1.7
L1_13,Inula salicina,3.3
L1_13,Leontodon hispidus,3.3
L1_13,Lotus corniculatus,1.7
L1_13,Onobrychis viciifolia,1.7
L1_13,Origanum vulgare,3.3
L1_13,Peucedanum oreoselinum,3.3
L1_13,Prunella grandiflora,3.3
L1_13,Ranunculus bulbosus,3.3
L1_13,Rhinanthus alectorolophus,5
L1_13,Scabiosa columbaria,3.3
L1_14,Agrostis capillaris,8.6
L1_14,Arrhenatherum elatius,8.6
L1_14,Briza media,8.6
L1_14,Crepis biennis,3.3
L1_14,Dactylis glomerata,8.6
L1_14,Daucus carota,3.3
L1_14,Galium mollugo,3.3
L1_14,Geranium pratense,3.3
L1_14,Holcus lanatus,8.6
L1_14,Lathyrus pratensis,1.7
L1_14,Phleum pratense,8.6
L1_14,Poa compressa,8.6
L1_14,Rhinanthus alectorolophus,5
L1_14,Rumex acetosa,3.3
L1_14,Salvia pratensis,3.3
L1_14,Silene flos-cuculi,3.3
L1_14,Tragopogon pratensis,3.3
L1_14,Trifolium pratense,1.7
L1_14,Veronica chamaedrys,3.3
L1_14,Vicia cracca,1.7
L1_15,Anthericum ramosum,3.3
L1_15,Anthoxanthum odoratum,8.6
L1_15,Anthyllis vulneraria,1.7
L1_15,Bromus erectus,8.6
L1_15,Centaurea scabiosa,3.3
L1_15,Festuca pratensis,8.6
L1_15,Festuca rubra,8.6
L1_15,Helianthemum nummularium,3.3
L1_15,Helictotrichon pubescens,8.6
L1_15,Hypochaeris radicata,3.3
L1_15,Knautia arvensis,3.3
L1_15,Koeleria pyramidata,8.6
L1_15,Leontodon hispidus,3.3
L1_15,Leucanthemum vulgare,3.3
L1_15,Medicago falcata,1.7
L1_15,Poa angustifolia,8.6
L1_15,Rhinanthus alectorolophus,5
L1_15,Sedum acre,3.3
L1_15,Thymus praecox,3.3
L1_15,Trifolium montanum,1.7
L1_16,Agrostis capillaris,8.6
L1_16,Arrhenatherum elatius,8.6
L1_16,Campanula rapunculoides,3.3
L1_16,Crepis biennis,3.3
L1_16,Festuca pratensis,8.6
L1_16,Festuca rubra,8.6
L1_16,Geranium pratense,3.3
L1_16,Holcus lanatus,8.6
L1_16,Hypochaeris radicata,3.3
L1_16,Lotus corniculatus,1.7
L1_16,Pastinaca sativa,3.3
L1_16,Pimpinella major,3.3
L1_16,Poa compressa,8.6
L1_16,Rhinanthus minor,5
L1_16,Salvia pratensis,3.3
L1_16,Tragopogon pratensis,3.3
L1_16,Trifolium pratense,1.7
L1_16,Trisetum flavescens,8.6
L1_16,Veronica chamaedrys,3.3
L1_16,Vicia cracca,1.7
L1_17,Alopecurus pratensis,8.6
L1_17,Anthoxanthum odoratum,8.6
L1_17,Arrhenatherum elatius,8.6
L1_17,Briza media,8.6
L1_17,Campanula glomerata,3.3
L1_17,Cerastium fontanum ssp vulgare,3.3
L1_17,Cichorium intybus,3.3
L1_17,Crepis biennis,3.3
L1_17,Festuca rubra,8.6
L1_17,Galium mollugo,3.3
L1_17,Holcus lanatus,8.6
L1_17,Lathyrus pratensis,1.7
L1_17,Lotus corniculatus,1.7
L1_17,Ranunculus acris,3.3
L1_17,Ranunculus bulbosus,3.3
L1_17,Rhinanthus minor,5
L1_17,Sanguisorba officinalis,3.3
L1_17,Silaum silaus,3.3
L1_17,Trisetum flavescens,8.6
L1_17,Vicia cracca,1.7
L1_18,Achillea millefolium,3.3
L1_18,Agrimonia eupatoria,3.3
L1_18,Brachypodium pinnatum,8.6
L1_18,Bromus erectus,8.6
L1_18,Campanula glomerata,3.3
L1_18,Carex flacca,8.6
L1_18,Centaurea scabiosa,3.3
L1_18,Festuca rubra,8.6
L1_18,Filipendula vulgaris,3.3
L1_18,Hippocrepis comosa,1.7
L1_18,Koeleria pyramidata,8.6
L1_18,Medicago falcata,1.7
L1_18,Onobrychis viciifolia,1.7
L1_18,Phleum pratense,8.6
L1_18,Plantago media,6.6
L1_18,Poa angustifolia,8.6
L1_18,Rhinanthus alectorolophus,5
L1_18,Salvia pratensis,3.3
L1_18,Silene vulgaris,3.3
L1_18,Thymus praecox,3.3
L1_19,Agrostis capillaris,8.6
L1_19,Anthericum ramosum,3.3
L1_19,Anthoxanthum odoratum,8.6
L1_19,Briza media,8.6
L1_19,Bromus erectus,8.6
L1_19,Centaurea scabiosa,3.3
L1_19,Centaurea stoebe,3.3
L1_19,Festuca ovina,8.6
L1_19,Festuca pratensis,8.6
L1_19,Filipendula vulgaris,3.3
L1_19,Helictotrichon pubescens,8.6
L1_19,Hippocrepis comosa,1.7
L1_19,Inula salicina,3.3
L1_19,Lotus corniculatus,1.7
L1_19,Medicago falcata,1.7
L1_19,Potentilla recta,3.3
L1_19,Ranunculus bulbosus,3.3
L1_19,Rhinanthus minor,5
L1_19,Scabiosa columbaria,3.3
L1_19,Sedum acre,3.3
L1_20,Agrostis capillaris,8.6
L1_20,Ajuga reptans,3.3
L1_20,Alopecurus pratensis,8.6
L1_20,Arrhenatherum elatius,8.6
L1_20,Briza media,8.6
L1_20,Campanula glomerata,3.3
L1_20,Campanula patula,3.3
L1_20,Cirsium oleraceum,3.3
L1_20,Daucus carota,3.3
L1_20,Festuca pratensis,8.6
L1_20,Festuca rubra,8.6
L1_20,Lotus corniculatus,1.7
L1_20,Medicago lupulina,1.7
L1_20,Plantago lanceolata,3.3
L1_20,Poa compressa,8.6
L1_20,Prunella vulgaris,3.3
L1_20,Rhinanthus alectorolophus,5
L1_20,Sanguisorba minor,3.3
L1_20,Sanguisorba officinalis,3.3
L1_20,Trifolium pratense,1.7
L1_21,Achillea millefolium,3.3
L1_21,Anthoxanthum odoratum,8.6
L1_21,Arrhenatherum elatius,8.6
L1_21,Campanula patula,3.3
L1_21,Crepis biennis,3.3
L1_21,Cynosurus cristatus,8.6
L1_21,Dactylis glomerata,8.6
L1_21,Daucus carota,3.3
L1_21,Festuca pratensis,8.6
L1_21,Festuca rubra,8.6
L1_21,Galium mollugo,3.3
L1_21,Holcus lanatus,8.6
L1_21,Lathyrus pratensis,1.7
L1_21,Leucanthemum vulgare,3.3
L1_21,Pastinaca sativa,3.3
L1_21,Rhinanthus alectorolophus,5
L1_21,Rumex acetosa,3.3
L1_21,Trifolium pratense,1.7
L1_21,Verbascum lychnitis,3.3
L1_21,Vicia cracca,1.7
L1_22,Agrimonia eupatoria,3.3
L1_22,Anthoxanthum odoratum,8.6
