Species_name	woody	annual	perennialnonclonal	monocarpic	polycarpic	clonal	branching	cyclicity	Primaryroot	BB0	BB0_mn10	BB_gtmn10	BB0R	BB0_mn10R	BB_gtmn10R	BBsize	BBdepth	BBRsize	BBRdepth	finalCGO	persistence	offspring	offspring_wsmall	spread	clonalindex	dispersibility	Rsprouter	PositionRB	RoleRB
"""Carex magellanica subsp. irrigua (Wahlenb.) Hiitonen"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	3.5	3.5	9.9	5	0	0		
"""Carex melanostachya M. Bieb. ex Willd."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex michelii Host"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex microglochin Wahlenb."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex montana L."""	0	0	0	0	0	1	symp	2	0	5	11.7	0	5	11.7	0	16.7	3.8	16.7	3.8	9	4	4.3	4.3	0.5	4	0	0		
"""Carex mucronata All."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex muricata agg. """	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	26.5	6	0	0		
"""Carex nigra (L.) Reichard"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	8.8	4	0	0		
"""Carex norvegica Retz."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Carex obtusata Lilj."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex oederi Retz."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Carex ornithopoda Willd."""	0	0	0	0	0	1	monop	2	0	5	10	0	5	10	0	15	3.7	15	3.7	9	4	0.8	0.8	0.5	3	0	0		
"""Carex otrubae Podp."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex pallescens L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	4.3	4.3	0.5	4	0	0		
"""Carex panicea L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	5	5	8	5	0	0		
"""Carex paniculata L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex parviflora Host"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex pauciflora Lightf."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex pendula Huds."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex pilosa Scop."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	2.3	2.3	6.8	4	0	0		
"""Carex pilulifera L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex praecox Schreb."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	2	2	13.4	4	0	0		
"""Carex pseudobrizoides Clavaud"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex pseudocyperus L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex pulicaris L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex punctata Gaudin"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	6	6	0.5	4	0	0		
"""Carex rariflora (Wahlenb.) Sm."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	13	4	0	0		
"""Carex remota L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	6.8	5	0	0		
"""Carex repens Bellardi"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex riparia Curtis"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	6.8	5	0	0		
"""Carex rostrata Stokes"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex rupestris All."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	8.8	4	0	0		
"""Carex saxatilis L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex secalina Willd. ex Wahlenb."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex sempervirens Vill."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	2.7	2.7	0.5	3	0	0		
"""Carex spicata Huds."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex strigosa Huds."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	6.8	5	0	0		
"""Carex subspathacea Wormsk. ex Hornem."""	0	0	0	0	0	1			0	5	15	0	5	15	0	20	4	20	4	10	4	6	6	13		0	0		
"""Carex supina Willd. ex Wahlenb."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	2.3	2.3	6.8	4	0	0		
"""Carex sylvatica Huds."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	3.5	3.5	0.5	4	0	0		
"""Carex tomentosa L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Carex trinervis Degl."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	4.3	4.3	17.8	6	0	0		
"""Carex umbrosa Host"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	3.5	3.5	0.5	4	0	0		
"""Carex vaginata Tausch"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	6.8	5	0	0		
"""Carex vesicaria L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	4.5	4.5	10.4	5	0	0		
"""Carex viridula subsp. brachyrrhyncha (Èelak.) B. Schmid"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Carex vulpina L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	3.5	3.5	0.5	4	0	0		
"""Carlina acaulis L. subsp. acaulis """	0	0	1	0	1	0	symp	1	1	5	15	0	5	21	15	20	4	41	8.2								1	2	F
"""Carlina vulgaris L."""	0	0	1	1	0	0		2	1	5	9	0	5	9	0	14	3.6	14	3.6								0		
"""Carpesium cernuum L."""	0	1	0	0	0	0		1	1	5	2.5	0	5	2.5	0	7.5	2.3	7.5	2.3								0		
"""Carpinus betulus L."""	1	0	0	0	0	0				0	0	0	0	15	15	0		30	10	15							1	3	F
"""Carthamus tinctorius L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Carum carvi L."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Carum verticillatum (L.) W. D. J. Koch"""	0	0	0	0	0	1	symp	2	0	5	5	0	5	5	0	10	3	10	3	9	2	1	1	0.5	3	0	0		
"""Cassiope tetragona (L.) D. Don"""	0	0	0	0	0	1	symp	1	0	15	15	0	15	15	0	30	3	30	3	9	4	1	1	0.5	3	0	0		
"""Castanea sativa Mill."""	1	0	0	0	0	0				0	0	0	0	15	15	0		30	10								1	3	R
"""Catabrosa aquatica (L.) P. Beauv."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Catapodium rigidum (L.) C. E. Hubb."""	0	1	0	0	0	0		1	0	5	0	0	5	0	0	5	1	5	1								0		
"""Caucalis platycarpos L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centaurea benedicta (L.) L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centaurea calcitrapa L."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Centaurea cyanus L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centaurea diffusa Lam."""	0	1	0	0	0	0		1	1	5	2.5	0	5	2.5	0	7.5	2.3	7.5	2.3								0		
"""Centaurea jacea L."""	0	0	0	0	0	1	symp	1	0	5	12.1	0	5	15.5	15	17.1	3.8	35.5	8.7	10	3.3	1.8	1.8	4.1	3	0	1	3	F
"""Centaurea montana L."""	0	0	1	0	1	0	symp	2	1	5	15	0	5	22.5	15	20	4	42.5	8.1								1	2	F
"""Centaurea nigra L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	0.5	3	0	0		
"""Centaurea nigrescens Willd."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	2	1	1	0.5	3	0	0		
"""Centaurea phrygia L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	20	15	20	4	40	8.3	10	2	1	1	13	4	0	1	3	R
"""Centaurea pseudophrygia C. A. Mey."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	3	1	1	0.5	3	0	0		
"""Centaurea scabiosa L."""	0	0	1	0	1	0	symp	2	1	5	13.6	0	5	19.8	15	18.6	3.9	39.8	8.3								1	3	F
"""Centaurea solstitialis L."""	0	0	1	0	1	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Centaurea stoebe L."""	0	0	1	1	0	0		2	1	5	9.4	0	5	9.4	0	14.4	3.6	14.4	3.6								0		
"""Centaurea triumfetti auct."""	0	0	1	0	1	0	symp	2	1	5	15	1.3	5	18	16.3	21.3	4.6	39.3	8.6								1	2	F
"""Centaurium erythraea Rafn"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centaurium littorale (Turner) Gilmour"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centaurium pulchellum (Sw.) Druce"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Centranthus ruber (L.) DC."""	0	0	1	0	1	0	symp	1	1	5	15	0	5	15	0	20	4	20	4								0		
"""Centunculus minimus L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cephalanthera damasonium (Mill.) Druce"""	0	0	0	0	0	1	symp	1	0	5	5	0	5	10	15	10	3	30	9.3	10	3	3.5	3.5	0.5	4	0	1	3	F
"""Cephalanthera longifolia (L.) Fritsch"""	0	0	0	0	0	1	symp	1	0	5	11.7	0	5	15.4	15	16.7	3.8	35.4	8.7	10	3	0.7	0.7	3.6	2	0	1	3	F
"""Cephalanthera rubra (L.) Rich."""	0	0	0	0	0	1	symp	1	0	5	8.3	0	5	15.8	15	13.3	3.5	35.8	8.6	10	3.3	1	3	5.5	3	0	1	3	F
"""Cerastium alpinum L."""	0	0	1	0	1	0	symp	2	1	7.5	11.3	0	7.5	11.3	0	18.8	3.4	18.8	3.4								0		
"""Cerastium arvense L."""	0	0	0	0	0	1	symp	2	0	8.3	10	0	8.3	10	0	18.3	3.2	18.3	3.2	10	3.5	2.7	2.7	8.8	4	0	0		
"""Cerastium brachypetalum agg. """	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium cerastoides (L.) Britton"""	0	0	0	0	0	1	symp	2	0	10	11.7	0	10	11.7	0	21.7	3.2	21.7	3.2	9	3.3	3.5	3.5	13	5	0	0		
"""Cerastium diffusum Pers. s.str."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium dubium (Bastard) Guépin"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium fontanum agg. """	0	0	0	0	0	1	symp	2	0	5	5	0	5	5	0	10	3	10	3	1	2	2	2	13		0	0		
"""Cerastium glomeratum Thuill."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium glutinosum Fr."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1							0	0		
"""Cerastium holosteoides Fr."""	0	0	1	0	1	0	symp	1	1	5	5	0	5	5	0	10	3	10	3								0		
"""Cerastium latifolium L."""	0	0	1	0	1	0	symp	1	1	15	15	0	15	15	0	30	3	30	3								0		
"""Cerastium pendunculatum Gaudin"""	0	0	1	0	1	0	symp	1	1		15			15		15	5	15	5								0		
"""Cerastium pumilum agg. """	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium semidecandrum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cerastium sylvaticum Waldst. & Kit."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	2	1	1	13	4	0	0		
"""Cerastium tomentosum L."""	0	0	0	0	0	1	symp	2	0	15	7.5	0	15	7.5	0	22.5	2.3	22.5	2.3	1	3.3	2.7	2.7	8.8	4	0	0		
"""Cerastium uniflorum Clairv."""	0	0	1	0	1	0	symp	2	1	15	10	0	15	10	0	25	2.6	25	2.6								0		
"""Ceratocapnos claviculata (L.) Lidén"""	0	1	0	0	0	0		1	1	6.7	0	0	6.7	0	0	6.7	1	6.7	1								0		
"""Ceratocephala falcata (L.) Pers."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Ceratophyllum demersum L."""	0	0	0	0	0	1			0	5	0	0	5	0	0	5	1	5	1	2	1	6	6		7	1	0		
"""Ceratophyllum submersum L."""	0	0	0	0	0	1			0	5	0	0	5	0	0	5	1	5	1	2	1	6	6		7	1	0		
"""Cerinthe glabra Mill."""	0	0	0	0	0	1	symp	2	0	5	5	0	5	5	0	10	3	10	3	9	4	1	1	0.5	3	0	0		
"""Cerinthe minor L."""	0	0	1	1	0	0		2	1	5	7.5	0	5	7.5	0	12.5	3.4	12.5	3.4								0		
"""Chaenomeles speciosa (Sweet) Nakai"""	1	0	0	0	0	0				0	5	5	0	20	20	10	10	40	10								1	3	R
"""Chaerophyllum aromaticum L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Chaerophyllum aureum L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Chaerophyllum bulbosum L."""	0	1	0	0	0	0		1	1	5	7.5	0	5	7.5	0	12.5	3.4	12.5	3.4								0		
"""Chaerophyllum hirsutum L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	3.2	4	4	8	5	0	0		
"""Chaerophyllum temulum L."""	0	1	0	0	0	0		1	1	5	5	0	5	5	0	10	3	10	3								0		
"""Chaerophyllum villarsii W. D. J. Koch"""	0	0	1	0	1	0			1	5	15	0	5	15	0	20	4	20	4								0		
"""Chamaecytisus ratisbonensis (Schaeff.) Rothm."""	0	0	1	0	1	0	symp	1	1	10	7.5	0	10	7.5	0	17.5	2.7	17.5	2.7								0		
"""Chamaecytisus supinus (L.) Link"""	0	0	1	0	1	0			1	15	15	0	15	15	0	30	3	30	3								0		
"""Chamaedaphne calyculata (L.) Moench"""	1	0	0	0	0	0	symp	2								0		0									0		
"""Chamorchis alpina (L.) Rich."""	0	0	0	0	0	1	symp	1	0	5	5	0	5	5	0	10	3	10	3	16	1	1	1	0.5	3	0	0		
"""Chelidonium majus L."""	0	0	1	0	1	0	symp	2	1	5	15	0	5	15	0	20	4	20	4								0		
"""Chenopodium album agg. """	0	1	0	0	0	0		1	1	1.7	0	0	1.7	0	0	1.7	1	1.7	1								0		
"""Chenopodium bonus-henricus L."""	0	1	0	0	0	0		1	1	5	15	0	5	18.8	15	20	4	38.8	8.4								1	2	R
"""Chenopodium capitatum (L.) Asch."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium chenopodioides (L.) Aellen"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium ficifolium Sm."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium foliosum Asch."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium glaucum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium hybridum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium murale L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium opulifolium W. D. J. Koch et Ziz"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium polyspermum L."""	0	1	0	0	0	0		1	1	10	0	0	10	0	0	10	1	10	1								0		
"""Chenopodium rubrum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium strictum Roth"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium suecicum Murr"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium urbicum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chenopodium vulvaria L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Chimaphila umbellata (L.) W. P. C. Barton"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	0.5	0.5	8.8	3	0	1	3	F
"""Chondrilla juncea L."""	0	0	1	0	1	0	symp	2	1	5	11	1	5	18.5	13.5	17	4.4	37	8.1								1	3	F
"""Chrysopogon gryllus (L.) Trin."""	0	0	0	0	0	1	symp	2	0	5	10	0	5	10	0	15	3.7	15	3.7	10	4	1	1	0.5	3	0	0		
"""Chrysosplenium alternifolium L."""	0	0	0	0	0	1	symp	2	0	5	11	0	5	11	0	16	3.8	16	3.8	10	2	4.1	4.1	11.4	5	0	0		
"""Chrysosplenium oppositifolium L."""	0	0	0	0	0	1	symp	2	0	15	0	0	15	0	0	15	1	15	1	1	1.5	3.5	3.5	13	5	0	0		
"""Cicendia filiformis (L.) Delarbre"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cicerbita alpina (L.) Wallr."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	13	4	0	0		
"""Cicerbita macrophylla (Willd.) Wallr."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	3	3.3	3.3	6.8	5	0	0		
"""Cicerbita plumieri (L.) Kirschl."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	13	4	0	0		
"""Cichorium intybus L."""	0	0	1	0	1	0	symp	2	1	5	10	0	5	16.4	15	15	3.7	36.4	8.6								1	2	R
"""Cicuta virosa L."""	0	0	0	0	0	1	symp	2	0	5	10	0	5	10	0	15	3.7	15	3.7	9	2	1	1	0.5	6	1	0		
"""Circaea alpina L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	12	1	6	6	13	5	0	0		
"""Circaea lutetiana L."""	0	0	0	0	0	1	symp	1	0	5	13.6	0	5	13.6	0	18.6	3.9	18.6	3.9	12	1	6	6	13	5	0	0		
"""Circaea x intermedia Ehrh."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	1	6	6	13	5	0	0		
"""Cirsium acaulon (L.) Scop."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	2.7	2.7	4.7	3	0	0		
"""Cirsium arvense (L.) Scop."""	0	0	0	0	0	1	symp	1	0	5	10	1.7	5	18.3	15	16.7	4.8	38.3	8.4	15	2.8	5.1	5.1	17.8	6	0	1	3	O
"""Cirsium canum (L.) All."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	2	1	1	4.7	3	0	0		
"""Cirsium dissectum (L.) Hill"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	2	3.5	3.5	13	5	0	0		
"""Cirsium eriophorum (L.) Scop."""	0	0	1	1	0	0		2	1	5	10	0	5	10	0	15	3.7	15	3.7								0		
"""Cirsium erisithales (Jacq.) Scop."""	0	0	1	0	1	0	symp	2	1	5	15	0	5	15	0	20	4	20	4								0		
"""Cirsium heterophyllum (L.) Hill"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	3.5	3.4	3.4	9.9	5	0	0		
"""Cirsium oleraceum (L.) Scop."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	3.3	1	1	8.8	4	0	0		
"""Cirsium palustre (L.) Scop."""	0	0	1	1	0	0		2	0	5	8.3	0	5	8.3	0	13.3	3.5	13.3	3.5								0		
"""Cirsium pannonicum (L. f.) Link"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	3.5	3.5	13	5	0	0		
"""Cirsium rivulare (Jacq.) All."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	2.7	1	1	8.8	4	0	0		
"""Cirsium spinosissimum (L.) Scop."""	0	0	1	0	1	0	symp	2	1	5	15	0	5	15	0	20	4	20	4								0		
"""Cirsium tuberosum (L.) All."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	13	4	0	0		
"""Cirsium vulgare (Savi) Ten."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Cladium mariscus (L.) Pohl"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	2.7	2.7	8.8	4	0	0		
"""Claytonia perfoliata Donn ex Willd."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Clematis alpina (L.) Mill."""	0	0	0	0	0	1	symp	2	0	15	15	0	15	15	0	30	3	30	3	9	4	1	1	40	5	0	0		
"""Clematis integrifolia L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	13	4	0	0		
"""Clematis recta L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	9	4	2.7	2.7	0.5	3	0	0		
"""Clematis vitalba L."""	1	0	0	0	0	0				0	0	0	0	0	0	0		0									0		
"""Clinopodium menthifolium (Host) Stace"""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	6	6	13	5	0	0		
"""Clinopodium vulgare L."""	0	0	0	0	0	1	symp	1	0	5	12.5	0	5	12.5	0	17.5	3.9	17.5	3.9	10	3	3.5	3.5	13	5	0	0		
"""Cnidium dubium (Schkuhr) Thell."""	0	0	1	1	0	0		2	1	5	8.3	0	5	14.3	15	13.3	3.5	34.3	8.8								1	3	F
"""Cochlearia anglica L."""	0	0	1	1	0	0		2	1	5	10	0	5	10	0	15	3.7	15	3.7								0		
"""Cochlearia danica L."""	0	1	0	0	0	0		1	1	5	6.7	0	5	6.7	0	11.7	3.3	11.7	3.3								0		
"""Cochlearia officinalis L."""	0	0	1	1	0	0		2	1	5	10	0	5	10	0	15	3.7	15	3.7								0		
"""Cochlearia pyrenaica DC."""	0	0	1	1	0	0		2	1	5	10	0	5	10	0	15	3.7	15	3.7								0		
"""Coeloglossum viride (L.) Hartm."""	0	0	0	0	0	1	symp	1	0	4.2	5	0	4.2	5	0	9.2	3.2	9.2	3.2	16	1	1	1	0.5	3	0	0		
"""Coincya monensis subsp. cheiranthos (Vill.) C.Aedo Pérez, Leadlay & Mu?oz Garm."""	0	1	0	0	0	0		1	1	5	2.5	0	5	2.5	0	7.5	2.3	7.5	2.3								0		
"""Coincya wrightii (O. E. Schulz) Stace"""	0	0	1	1	0	0			1	5	5	0	5	5	0	10	3	10	3								0		
"""Colchicum autumnale L."""	0	0	0	0	0	1	symp	2	0	0	1.7	3.3	0	1.7	3.3	5	11.7	5	11.7	12	1.5	1.5	2.4	0.5	3	0	0		
"""Colchicum bulbocodium Ker Gawl."""	0	0	0	0	0	1	symp	1	0	0	5	0	0	5	0	5	5	5	5	12	1	6	6	0.5	4	0	0		
"""Coleanthus subtilis (Tratt.) Seidl ex Roem. et Schult."""	0	1	0	0	0	0		1	0	5	0	0	5	0	0	5	1	5	1								0		
"""Collomia grandiflora Douglas ex Lindl."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Colutea arborescens L."""	1	0	0	0	0	0				0	5	5	0	5	5	10	10	10	10								0		
"""Comarum palustre L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	13	4	0	0		
"""Conium maculatum L."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Conopodium majus (Gouan) Loret"""	0	0	1	0	1	0			0	5	5	0	5	5	0	10	3	10	3								0		
"""Conringia orientalis (L.) C. Presl"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Consolida ajacis (L.) Schur"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Consolida regalis Gray"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Convallaria majalis L."""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	10	4	0.7	0.7	7.3	3	0	0		
"""Convolvulus arvensis L."""	0	0	0	0	0	1	symp	1	0	5	13	3	5	21.2	16	21	5.5	42.2	8.3	15	4	3.5	3.5	13.3	5	0	1	3	O
"""Conyza canadensis (L.) Cronquist"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Corallorhiza trifida Châtel."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	0.5	3	0	1	3	F
"""Coriandrum sativum L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Corispermum marschallii Steven"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Corispermum pallasii Steven"""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Cornus mas L."""	1	0	0	0	0	0				0	0	0	0	0	0	0		0									0		
"""Cornus sanguinea L."""	1	0	0	0	0	0				0	10	10	0	15	15	20	10	30	10	15							1	3	F
