Species_name	woody	annual	perennialnonclonal	monocarpic	polycarpic	clonal	branching	cyclicity	Primaryroot	BB0	BB0_mn10	BB_gtmn10	BB0R	BB0_mn10R	BB_gtmn10R	BBsize	BBdepth	BBRsize	BBRdepth	finalCGO	persistence	offspring	offspring_wsmall	spread	clonalindex	dispersibility	Rsprouter	PositionRB	RoleRB
"""Aethionema saxatile (L.) R. Br."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Aethusa cynapium L. subsp. cynapium """	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Agave americana L."""	0	0	0	0	0	1	symp	2	0	15	15	15	15	15	15	45	7	45	7	10	2	1	1	13	4	0	0		
"""Agrimonia eupatoria L."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	3	3	0	1	3	R
"""Agrimonia procera Wallr."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	13	4	0	1	3	R
"""Agrostemma githago L."""	0	1	0	0	0	0		1	1	5	0	0	5	0	0	5	1	5	1								0		
"""Agrostis agrostiflora (Beck) Rauschert"""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	6.8	5	0	0		
"""Agrostis alpina Scop."""	0	0	0	0	0	1	symp	2	0	5	11.7	0	5	11.7	0	16.7	3.8	16.7	3.8	10	4	6	6	3.6	4	0	0		
"""Agrostis canina agg. """	0	0	0	0	0	1	symp	2	0	11	3	0	11	3	0	14	1.9	14	1.9	1	2.3	5.9	5.9	10.2	5	0	0		
"""Agrostis capillaris L."""	0	0	0	0	0	1	symp	1	0	6.1	12.8	0	6.1	12.8	0	18.9	3.7	18.9	3.7	10	3.6	2.7	2.7	7.7	4	0	0		
"""Agrostis castellana Boiss. et Reut."""	0	0	0	0	0	1	symp	1	0	5	15	0	5	15	0	20	4	20	4	10	4	1	1	6.8	4	0	0		
"""Agrostis curtisii Kerguélen"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	6	6	0.5	4	0	0		
"""Agrostis gigantea Roth"""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	4.8	4.8	8.8	5	0	0		
"""Agrostis mertensii Trin."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	9	4	1	1	0.5	3	0	0		
"""Agrostis rupestris All."""	0	0	0	0	0	1	symp	2	0	5	10	0	5	10	0	15	3.7	15	3.7	9	4	6	6	0.5	4	0	0		
"""Agrostis schleicheri Jord. & Verl."""	0	0	0	0	0	1	symp	2	0	5	5	0	5	5	0	10	3	10	3	9	4	6	6	0.5	4	0	0		
"""Agrostis stolonifera L."""	0	0	0	0	0	1	symp	2	0	5	1.3	0	5	1.3	0	6.3	1.8	6.3	1.8	1	1.8	5	5	13	5	0	0		
"""Agrostis vinealis Schreb."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	15	0	20	4	20	4	10	4	3.5	3.5	8.8	5	0	0		
"""Ailanthus altissima (Mill.) Swingle"""	1	0	0	0	0	0				0	0	0	0	15	15	0		30	10	15							1	3	F
"""Aira caryophyllea L."""	0	1	0	0	0	0		1	0	5	0	0	5	0	0	5	1	5	1								0		
"""Aira praecox L."""	0	1	0	0	0	0		1	0	5	7.5	0	5	7.5	0	12.5	3.4	12.5	3.4								0		
"""Ajuga chamaepitys (L.) Schreb."""	0	0	1	1	0	0		2	1	5	0	0	5	0	0	5	1	5	1								0		
"""Ajuga genevensis L."""	0	0	0	0	0	1	symp	2	0	5	11.7	0	5	19.7	15	16.7	3.8	39.7	8.3	15	2.7	4	4	9.8	5	0	1	3	F
"""Ajuga pyramidalis L."""	0	0	0	0	0	1	symp	2	0	5	15	0	5	21	15	20	4	41	8.2	9	2.8	2	2	5.5	3	0	1	3	F
"""Ajuga reptans L."""	0	0	0	0	0	1	symp	2	0	7.9	9.5	0	7.9	12.8	15	17.4	3.2	35.6	8.3	1	2.4	3.8	3.8	18.7	5	0	1	3	R
"""Alcea rosea L."""	0	0	1	1	0	0		2	1	5	5	0	5	5	0	10	3	10	3								0		
"""Alchemilla alpina L."""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.8	0.8	0.5	3	0	0		
"""Alchemilla conjuncta Bab."""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.5	0.5	0.5	2	0	0		
"""Alchemilla fissa Günther et Schummel"""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.5	0.5	0.5	2	0	0		
"""Alchemilla glabra Neygenf."""	0	0	0	0	0	1	monop	1	0		15	0		15	0	15	5	15	5	9	4	0.5	0.5	0.5	2	0	0		
"""Alchemilla glacialis Buser"""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.5	0.5	13	3	0	0		
"""Alchemilla glomerulans Buser"""	0	0	0	0	0	1	monop	1	0		15	0		15	0	15	5	15	5	9	4	0.5	0.5	0.5	2	0	0		
"""Alchemilla monticola Opiz"""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	3.3	3.3	8.8	5	0	0		
"""Alchemilla versipila Buser"""	0	0	0	0	0	1					15	0		15	0	15	5	15	5	9	4					0	0		
"""Alchemilla vulgaris L."""	0	0	0	0	0	1	monop	1	0	5	15	0	5	15	0	20	4	20	4	9	4	0.5	0.5	0.5	2	0	0		
"""Alchemilla wichurae (Buser) Stefánsson"""	0	0	0	0	0	1	monop	1	0		15	0		15	0	15	5	15	5	9	4	0.5	0.5	0.5	2	0	0		
