Species	TapRootPersist	ReproMulti	StorageOrganPresence	AgeFirstFlowering	GenetLifeSpan	BudBank_no_>10cm	BudBank_no_>0_to_10cm	BudBank_no_0cm	BudBank_no_0_to_-10cm	BudBank_no_<-10cm	BudBank_season_>10cm	BudBank_season_0_to_10cm	BudBank_season_0cm	BudBank_season_0_to_-10cm	BudBank_season_<-10cm	CGO_Type_1	CGO_Type_2	CGO_Type_3	CGO_Type_4	CGO_Role_1	CGO_Role_2	CGO_Role_3	CGO_Role_4	ShootCycl_1	ShootCycl_2	ShootCycl_3	ShootCycl_4	ConnectionPersist_1	ConnectionPersist_2	ConnectionPersist_3	ConnectionPersist_4	OffspringPerParent_1	OffspringPerParent_2	OffspringPerParent_3	OffspringPerParent_4	LateralSpread_1	LateralSpread_2	LateralSpread_3	LateralSpread_4	BranchingType_1	BranchingType_2	BranchingType_3	BranchingType_4	TilleringType_1	TilleringType_2	TilleringType_3	TilleringType_4	RootsPos_1	RootsPos_2	RootsPos_3	RootsPos_4	LeafDistr_1	LeafDistr_2	LeafDistr_3	LeafDistr_4	OffspringSize_1	OffspringSize_2	OffspringSize_3	OffspringSize_4	ClonalVsRepr_1	ClonalVsRepr_2	ClonalVsRepr_3	ClonalVsRepr_4	GenerationOverlap_1	GenerationOverlap_2	GenerationOverlap_3	GenerationOverlap_4	DataType	Geography	Habitat	Date	Det	Herb	Photos	Drawings	Ndeg	Nmin	Edeg	Emin	Ref
Aegopodium podagraria L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		9	10			necessary	additive			2	2			>2	>2			<1	<1			<0.01	0.01-0.25			sympodial	sympodial							along horiz. stem	on shoot base			semi-rosette	semi-rosette			about the same	about the same							yes	yes			second-hand information	Russia											Gatsuk, L.E., Smirnova, O.V., Vorontzova, L.I., Zaugolnova, L.B. & Zhukova, L.A. 1980. Age states of plants of various growth forms: a review. Journal of Ecology 68: 675-696	
Aegopodium podagraria L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10	9			necessary	necessary			2	2			>2	>2			1	1			0.01-0.25	<0.01			sympodial	sympodial							along horiz. stem	along horiz. stem			semi-rosette	semi-rosette			about the same	about the same							yes	yes			picture interpretation	Austria	wet grassland										Kutschera, L. & Lichtenegger, E. 1992. Wurzelatlas mitteleuropäischer Grünlandpflanzen. Band 2 Pteridophyta und Dicotyledoneae (Magnoliopsida), Teil 1 Morphologie, Anatomie, Ökologie, Verbreitung, Soziologie, Wirtschaft.:	
Aegopodium podagraria L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	seasonal	perennial		10				necessary				2				>2				1				0.01-0.25				sympodial								on shoot base				semi-rosette				about the same								yes				picture interpretation	Poland											Lukasiewicz, A. 1962. Morphologic development types of perennials [in Polish]. The Poznan Society of Friends of Science, Department of Mathemathical and Natural Sciences, Publication of the Section of Biology 27: 1-398	
Aegopodium podagraria L.	no		no			1-10	1-10	1-10	>10	0	seasonal	perennial	seasonal	perennial		10				necessary				2				>2				2-10				0.01-0.25				sympodial								along horiz. stem				semi-rosette				about the same								yes				picture interpretation	Germany											Schubert, R., Jäger, E. & Werner, K. 1987. Exkursionflora für die Gebiete der DDR und der BRD. Atlas der Gefässpflanzen. Band, 6. 3.:	
Aegopodium podagraria L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	perennial	perennial		10				necessary				2				>2				2-10				0.01-0.25				sympodial								on shoot base				semi-rosette				about the same								yes				picture interpretation	Czechia		28.10.1994				23						
Aegopodium podagraria L.	no		no			0	0	1-10	>10	0			perennial	perennial		9	10			necessary	necessary			>2	>2			>2	>2			<1	<1			<0.01	0.01-0.25			sympodial	sympodial											semi-rosette	semi-rosette			about the same	about the same							yes	yes			picture interpretation	Czechia	deciduous woodland	24.3.1995			mown	24						
Agrostis capillaris L.	no		no			1-10	1-10	1-10	1-10	0	seasonal	seasonal	seasonal	seasonal		10	9			necessary	necessary			1	1			2	2			2-10	2-10			0.01-0.25	<0.01			sympodial	sympodial			extravaginal	intravaginal			along horiz. stem	along horiz. stem			semi-rosette	no rosette			about the same	about the same							no	no			picture interpretation	Czechia	ruderal habitats	28. 6. 1997				29						
Agrostis capillaris L.	no		no			1-10	1-10	1-10	1-10	0	seasonal	seasonal	seasonal	perennial		9	10			necessary	necessary			1	1			>2	>2			2-10	1			<0.01	0.01-0.25			sympodial	sympodial			intravaginal	extravaginal			along horiz. stem	along horiz. stem			no rosette	no rosette			about the same	about the same							no	no			picture interpretation	Czechia	wet grassland	1.6.2004				1445						
Agrostis capillaris L.						1-10	1-10	>10	>10	0	seasonal	seasonal	seasonal	perennial		1	10			additive	additive															0.01-0.25	0.01-0.25																															second-hand information												Grime, J.P., Hodgson, J.G. & Hunt, R. 1988. Comparative plant ecology - a functional approach to common British species.:	
Agrostis capillaris L.	no		no			1-10	1-10	1-10	>10	0	seasonal	seasonal	seasonal	perennial		10	9			necessary	necessary			2	2			>2	>2			1	2-10			0.01-0.25	<0.01			sympodial	sympodial							along horiz. stem	on shoot base			semi-rosette	semi-rosette			about the same	about the same							yes	yes			field observation	Germany											Mühlberg, H. 1967. Die Wuchstypen der mitteldeutschen Poaceen. Hercynia 4: 11-50	
