plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyDate_seeded,surveyDate_2018,surveyDate_2019,surveyDate_2020,surveyDate_2021,botanist_2018,botanist_2019,botanist_2020,botanist_2021,vegetationCov_2018,vegetationCov_2019,vegetationCov_2020,vegetationCov_2021,bioMass_2019
L2_03,2,L_211,4,south,land,1,0,15,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,60,70,80,NA
L2_04,2,L_213,4,south,land,1,0,15,3,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,40,70,70,70,NA
L2_05,2,L_221,4,south,land,2,25,15,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,70,65,70,NA
L2_06,2,L_224,4,south,land,2,25,15,4,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,30,70,65,80,NA
L2_07,2,L_223,4,south,land,2,25,15,3,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,25,80,70,80,NA
L2_08,2,L_222,4,south,land,2,25,15,2,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,20,60,65,80,NA
L2_09,2,L_234,4,south,land,3,50,15,4,dry_grassland,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,60,60,60,80,NA
L2_10,2,L_233,4,south,land,3,50,15,3,dry_grassland,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-06,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,45,40,60,80,NA
L2_11,2,L_231,4,south,land,3,50,15,1,hay_meadow,4,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,40,60,60,70,NA
L2_12,2,L_232,4,south,land,3,50,15,2,hay_meadow,8,2018-04-13,2018-07-20,2019-06-21,2020-06-12,2021-07-07,Jakob Huber,Linda Weggler,Jakob Huber,Markus Bauer,65,30,30,40,NA
