id,plot,site,latitude,longitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_year,vegetation_cover,botanist,biomass,survey_date,graminoid_cover,herb_cover,accumulated_cover,target_cover,seeded_cover,target_cover_ratio,graminoid_cover_ratio,seeded_cover_ratio,species_richness,rlg_richness,rlb_richness,target_richness,seeded_richness,ffh6510_richness,ffh6210_richness,fcs_target,fcs_seeded,shannon,evenness,esy,fdis_abu_lhs,cwm_abu_sla,cwm_abu_seedmass,cwm_abu_height
L1_09_seeded,L1_09,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,12,2,3.045,NA,2.848,0.951,R22,1.047,24.609,1.2,0.426
L1_10_2018,L1_10,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,8,2018,75,Jakob Huber,NA,2018-07-21,0.5,75.5,76,0,0,0,0.007,0,6,0,0,0,0,0,0,-1.946,-1.946,0.363,0.203,V37,0.348,25.213,8.578,0.215
L1_10_2019,L1_10,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,8,2019,65,Linda Weggler,NA,2019-06-26,10.5,56.5,67,10.5,0.5,0.157,0.157,0.007,12,0,0,7,1,2,1,0.288,-1.792,1.037,0.417,V37,0.65,24.981,6.394,0.228
L1_10_2020,L1_10,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,8,2020,70,Jakob Huber,NA,2020-06-13,54,24.5,78.5,52.5,0.5,0.669,0.688,0.006,14,0,0,6,1,3,1,-0.251,-1.946,1.115,0.422,V37,0.601,26.039,3.263,0.2
L1_10_2021,L1_10,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,8,2021,80,Markus Bauer,NA,2021-07-05,22.5,73.5,96,24,3,0.25,0.234,0.031,17,0,0,10,3,7,1,0.318,-1.322,1.837,0.648,V37,1.406,23.165,1.584,0.228
L1_10_seeded,L1_10,1,4883856,1287752,314,4,south,land,50,15,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,2,0,20,NA,10,2,3.045,NA,2.848,0.951,R22,1.11,23.992,0.899,0.391
L1_11_2018,L1_11,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,4,2018,85,Jakob Huber,NA,2018-07-21,1.5,91.5,93,1,1,0.011,0.016,0.011,11,0,0,2,2,0,1,-1.204,-1.204,0.773,0.323,V37,0.69,24.58,7.406,0.242
L1_11_2019,L1_11,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,4,2019,70,Linda Weggler,NA,2019-06-26,1,76,77,17.5,14,0.227,0.013,0.182,22,1,0,11,7,3,2,0,-0.693,1.647,0.533,V37,0.894,24.262,7.874,0.274
L1_11_2020,L1_11,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,4,2020,75,Jakob Huber,NA,2020-06-13,25.5,61.5,87,48,23.5,0.552,0.293,0.27,22,1,1,13,6,5,1,0.336,-0.887,2.26,0.731,V37,1.45,23.286,2.162,0.326
L1_11_2021,L1_11,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,4,2021,90,Markus Bauer,NA,2021-07-05,14.5,94.5,109,65,44,0.596,0.133,0.404,22,1,0,12,5,4,1,0.167,-1.099,2.421,0.783,R1A,1.427,21.11,0.894,0.329
L1_11_seeded,L1_11,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,3,1,20,NA,3,7,3.045,NA,2.848,0.951,R1A,1.126,19.936,0.896,0.273
L1_12_2018,L1_12,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,8,2018,75,Jakob Huber,NA,2018-07-21,1,85,86,10.5,10.5,0.122,0.012,0.122,8,0,1,2,2,0,0,-0.847,-0.847,0.89,0.428,V37,0.776,23.105,6.975,0.256
L1_12_2019,L1_12,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,8,2019,90,Linda Weggler,NA,2019-06-26,0.5,93,93.5,81.5,81,0.872,0.005,0.866,11,0,1,6,5,1,2,0.154,-0.154,0.804,0.335,V38,0.543,15.947,3.055,0.477
L1_12_2020,L1_12,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,8,2020,80,Jakob Huber,NA,2020-06-13,3.5,88,91.5,69.5,66.5,0.76,0.038,0.727,13,0,1,8,5,3,1,0.405,-0.405,1.22,0.476,V38,0.918,18.14,3.302,0.43
L1_12_2021,L1_12,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,8,2021,90,Markus Bauer,NA,2021-07-05,4.5,105,109.5,72.5,72.5,0.662,0.041,0.662,9,0,1,4,4,0,0,-0.182,-0.182,1.364,0.621,V38,1.025,19.59,3.411,0.416
L1_12_seeded,L1_12,1,4883856,1287752,314,4,south,land,50,15,dry_grassland,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,5,2,20,NA,2,9,3.045,NA,2.848,0.951,R1A,0.994,19.262,1.045,0.35
L1_13_2018,L1_13,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,4,2018,75,Jakob Huber,NA,2018-07-21,1,77,78,0,0,0,0.013,0,7,0,1,0,0,0,0,-2.079,-2.079,0.473,0.243,V37,0.388,25.254,8.823,0.221
L1_13_2019,L1_13,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,4,2019,80,Linda Weggler,NA,2019-06-21,1,77,78,12,0.5,0.154,0.013,0.006,11,1,0,5,1,2,0,-0.154,-1.705,1.368,0.571,V37,1.182,22.348,3.221,0.29
L1_13_2020,L1_13,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,4,2020,85,Jakob Huber,NA,2020-06-13,41,58,99,42.5,0,0.429,0.414,0,14,0,0,6,0,3,0,-0.251,-2.708,1.136,0.43,V37,0.674,25.737,4.242,0.198
L1_13_2021,L1_13,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,4,2021,80,Markus Bauer,NA,2021-07-05,9,84,93,24,4.5,0.258,0.097,0.048,20,0,0,13,3,3,2,0.56,-1.504,1.778,0.593,V37,1.365,22.318,2.823,0.268
L1_13_seeded,L1_13,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,5,0,20,NA,3,6,3.045,NA,2.848,0.951,R1A,1.079,20.242,1.158,0.317
L1_14_2018,L1_14,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,8,2018,60,Jakob Huber,NA,2018-07-21,0.5,62.5,63,1.5,1,0.024,0.008,0.016,8,1,0,3,2,1,0,-0.405,-0.847,0.706,0.339,V37,0.754,24.129,6.356,0.244
L1_14_2019,L1_14,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,8,2019,80,Linda Weggler,NA,2019-06-21,1,79.5,80.5,29,12,0.36,0.012,0.149,15,1,0,10,5,5,1,0.606,-0.606,1.622,0.599,V37,1.032,22.388,3.198,0.265
L1_14_2020,L1_14,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,8,2020,80,Jakob Huber,NA,2020-06-13,30.5,69.5,100,44,8.5,0.44,0.305,0.085,19,2,0,11,5,5,1,0.288,-0.916,1.515,0.515,V37,0.776,25.55,3.872,0.204
L1_14_2021,L1_14,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,8,2021,90,Markus Bauer,NA,2021-07-05,3,101,104,38,16.5,0.365,0.029,0.159,19,1,0,11,4,4,1,0.288,-1.163,1.913,0.65,R,1.355,23.594,1.929,0.237
L1_14_seeded,L1_14,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,12,1,3.045,NA,2.848,0.951,R22,1.044,25.035,0.75,0.396
L1_15_2018,L1_15,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,8,2018,75,Jakob Huber,NA,2018-07-21,0,75.5,75.5,0,0,0,0,0,3,0,0,0,0,0,0,-1.386,-1.386,0.283,0.258,V37,0.313,17.76,0.683,0.514
L1_15_2019,L1_15,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,8,2019,70,Linda Weggler,NA,2019-06-21,2,65.5,67.5,13.5,2,0.2,0.03,0.03,18,0,0,8,4,1,3,-0.201,-1.099,1.549,0.536,V37,1.148,20.228,1.586,0.35
L1_15_2020,L1_15,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,8,2020,55,Jakob Huber,NA,2020-06-13,21.5,41,62.5,25,2,0.4,0.344,0.032,19,0,0,8,4,2,4,-0.288,-1.163,1.775,0.603,V37,1.43,28.288,0.738,0.299
L1_15_2021,L1_15,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,8,2021,90,Markus Bauer,NA,2021-07-05,8.5,88,96.5,11.5,2,0.119,0.088,0.021,16,0,0,7,1,4,0,-0.223,-2.079,1.681,0.606,R,1.524,23.312,1.851,0.231
L1_15_seeded,L1_15,1,4883856,1287752,314,4,south,land,0,30,dry_grassland,8,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,4,1,20,NA,6,7,3.045,NA,2.848,0.951,R1A,1.168,19.161,1.195,0.311
L1_16_2018,L1_16,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,4,2018,50,Jakob Huber,NA,2018-07-21,0.5,51,51.5,0,0,0,0.01,0,5,0,0,0,0,0,0,-1.792,-1.792,0.757,0.47,V37,1.073,19.553,1.413,0.412
L1_16_2019,L1_16,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,4,2019,80,Linda Weggler,NA,2019-06-21,1.5,75.5,77,14,2,0.182,0.019,0.026,14,0,0,9,4,2,0,0.511,-0.788,1.421,0.539,V37,1.207,20.965,2.2,0.332
L1_16_2020,L1_16,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,4,2020,75,Jakob Huber,NA,2020-06-13,10.5,68,78.5,22,2,0.28,0.134,0.025,12,0,0,7,1,3,0,0.288,-1.792,1.588,0.639,V15,1.433,27.259,0.724,0.3
L1_16_2021,L1_16,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,4,2021,90,Markus Bauer,NA,2021-07-05,9,94.5,103.5,12.5,1.5,0.121,0.087,0.014,19,0,0,12,3,6,1,0.486,-1.447,1.523,0.517,V37,1.448,23.505,2.452,0.234
L1_16_seeded,L1_16,1,4883856,1287752,314,4,south,land,0,30,hay_meadow,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,1,0,20,NA,10,0,3.045,NA,2.848,0.951,R22,1.208,24.502,0.814,0.415
L1_17_2018,L1_17,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,4,2018,60,Jakob Huber,NA,2018-07-21,0.5,62,62.5,0,0,0,0.008,0,6,0,0,0,0,0,0,-1.946,-1.946,0.232,0.13,V37,0.164,25.583,9.977,0.21
L1_17_2019,L1_17,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,4,2019,70,Linda Weggler,NA,2019-06-21,0.5,67,67.5,35,1,0.519,0.007,0.015,14,0,1,6,2,3,0,-0.251,-1.466,1.436,0.544,V37,1.018,21.973,2.54,0.266
L1_17_2020,L1_17,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,4,2020,70,Jakob Huber,NA,2020-06-13,21,66.5,87.5,37,2.5,0.423,0.24,0.029,22,1,1,13,5,7,1,0.336,-1.099,1.786,0.578,R,1.099,24.473,2.877,0.233
L1_17_2021,L1_17,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,4,2021,80,Markus Bauer,NA,2021-07-05,7,71.5,78.5,18,0,0.229,0.089,0,16,0,0,7,0,1,1,-0.223,-2.833,1.841,0.664,V15,1.265,23.875,3.184,0.291
L1_17_seeded,L1_17,1,4883856,1287752,314,4,south,land,25,30,hay_meadow,4,seeded,NA,NA,NA,2018-04-27,60.199999999999996,39.8,100,100,NA,1,0.602,NA,20,3,0,20,NA,13,3,3.045,NA,2.848,0.951,R22,1.111,23.958,0.841,0.368
