name,abb,family,group,rlg,rlb,neophyte,t,f,r,n,ffh6510,ffh6210,biotope_target,table_31,table_34,table_35,table_36,mapped_2011,special_target,seed_availability,seeded_hay_meadow,seeded_dry_grassland,target,seeded,rate_2018,rate_2019,rate_2020,rate_2021,total_seeded_2018,total_established_2018,total_established_2019,total_established_2020,total_established_2021,sla,seedmass,height
Brachypodium_pinnatum,Bracpinn,Poaceae,top-grass,no,no,no,6,4,7,4,0,1,1,NA,3,NA,NA,NA,NA,1,0,1,1,1,0,0,0.09,0.51,74,0,0,7,38,21.7,2.948,0.33
Brassica_napus,Brasnapu,Brassicaceae,herb,no,no,yes,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.805,4.392,0.963
Brassicaceae,Bras,Brassicaceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Briza_media,Brizmedi,Poaceae,sub-grass,no,no,no,NA,NA,NA,2,1,1,1,3,4,NA,NA,NA,NA,1,1,1,1,1,0,0,0.27,0.46,158,0,0,43,72,21.1,0.379,0.165
Bromus_erectus,Bromerec,Poaceae,top-grass,no,no,no,5,3,8,3,0,1,1,NA,3,NA,NA,NA,NA,1,0,1,1,1,0.11,0.4,0.49,0.47,144,16,58,70,67,17.135,4.805,0.5
Bromus_hordeaceus,Bromhord,Poaceae,top-grass,no,no,no,6,NA,NA,3,1,0,1,NA,NA,NA,NA,0,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.49,2.44,0.17
Bromus_inermis,Brominer,Poaceae,top-grass,no,no,no,NA,4,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.415,3.672,0.475
Bromus_sterilis,Bromster,Poaceae,sub-grass,no,no,no,6,4,NA,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,7.923,0.375
Bunias_orientalis,Buniorie,Brassicaceae,herb,no,no,yes,6,5,8,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.155,26.082,0.83
Buphthalmum_salicifolium,Buphsali,Asteraceae,herb,no,no,no,NA,4,8,3,0,0,1,NA,2,2,1,NA,NA,1,0,1,1,1,0,0.31,0.49,0.26,35,0,11,17,9,25.72,0.46,0.35
Calystegia_sepium,Calysepi,Convolvulaceae,herb,no,no,no,6,6,7,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,31.28,1.5
Campanula_glomerata,Campglom,Campanulaceae,herb,3,no,no,NA,4,7,NA,0,1,1,NA,3,NA,1,NA,NA,1,1,1,1,1,0,0,0,0,71,0,0,0,0,24.2,0.127,0.115
Campanula_patula,Camppatu,Campanulaceae,herb,V,no,no,6,5,7,5,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0,0.5,0.12,32,0,0,16,4,34.89,0.025,0.225
Campanula_rapunculoides,Camprapu,Campanulaceae,herb,no,no,no,6,4,7,4,0,0,1,NA,3,NA,1,NA,NA,1,1,0,1,1,0,0.03,0.06,0,35,0,1,2,0,54.735,0.187,0.375
Campanula_rotundifolia,Camprotu,Campanulaceae,herb,no,no,no,5,NA,NA,2,0,0,1,NA,3,NA,1,NA,NA,1,0,1,1,1,0,0,0.11,0,36,0,0,4,0,22.7,0.067,0.19
Capsella_bursa-pastoris,Capsburs,Brassicaceae,herb,no,no,no,NA,5,NA,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,0.107,0.135
Cardamine_hirsuta,Cardhirs,Brassicaceae,herb,no,no,no,6,5,5,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.45,0.101,0.1
Carex_acutiformis,Careacut,Cyperaceae,sedge,no,no,no,NA,9,7,5,0,0,1,4,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,1.11,0.75
Carex_caryophyllea,Carecary,Cyperaceae,sedge,V,no,no,NA,4,NA,2,0,1,1,NA,3,3,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,1.344,0.09
Carex_filiformis,Carefili,Cyperaceae,sedge,3,3,no,6,7,9,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.02,1.05,0.375
Carex_flacca,Careflac,Cyperaceae,sedge,no,no,no,NA,6,8,NA,0,0,0,NA,3,NA,NA,1,NA,1,0,1,1,1,0,0,0,0,70,0,0,0,0,15.1,0.972,0.275
Carex_hirta,Carehirt,Cyperaceae,sedge,no,no,no,6,6,NA,5,0,0,1,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9,2.816,0.45
Carex_leporina,Carelepo,Cyperaceae,sedge,no,no,no,NA,7,3,3,0,0,0,3,4,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.84,0.491,0.235
Carex_muricata,Caremuri,Cyperaceae,sedge,no,no,no,6,4,NA,6,0,0,1,NA,NA,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,1.827,0.275
Carex_praecox_ssp_praecox,Carepraeprae,Cyperaceae,sedge,V,3,no,6,3,NA,4,0,0,1,NA,3,NA,NA,NA,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05,0.99,0.165
Carex_spec,Carespec,Cyperaceae,sedge,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlina_vulgaris,Carlvulg,Asteraceae,herb,no,no,no,5,4,7,3,0,0,1,NA,2,2,NA,NA,NA,1,0,1,1,1,0,0,0,0.31,35,0,0,0,11,33.17,NA,0.375
Centaurea_jacea,Centjace,Asteraceae,herb,no,no,no,NA,NA,NA,NA,1,0,1,NA,4,NA,1,NA,NA,1,1,0,1,1,0.44,0.64,0.78,0.53,36,16,23,28,19,16.3,2,0.85
Centaurea_scabiosa,Centscab,Asteraceae,herb,no,no,no,NA,3,8,4,0,1,1,NA,2,NA,NA,NA,NA,1,1,1,1,1,0.25,0.45,0.42,0.36,85,21,38,36,31,19.68,6.548,0.825
Centaurea_spec,Centspec,Asteraceae,herb,no,no,no,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centaurea_stoebe,Centstoe,Asteraceae,herb,no,3,no,7,2,8,3,0,0,1,NA,3,NA,NA,NA,NA,1,0,1,1,1,0.87,0.92,0.89,0.76,38,33,35,34,29,27.09,2.08,0.688
Cerastium_arvense,Ceraarve,Caryophyllaceae,herb,no,no,no,NA,4,6,4,0,0,0,NA,4,NA,1,NA,NA,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.01,0.198,0.125
Cerastium_fontanum_ssp_vulgare,Cerafontvulg,Caryophyllaceae,herb,no,no,no,NA,5,NA,5,1,0,1,NA,NA,NA,1,NA,NA,1,1,0,1,1,0,0.54,0.49,0.23,35,0,19,17,8,28.9,0.14,0.15
Cerastium_glomeratum,Ceraglom,Caryophyllaceae,herb,no,no,no,5,5,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,0.059,0.135
Chaerophyllum_bulbosum,Chaebulb,Apiaceae,herb,no,no,no,6,7,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,2.45,0.85
Chenopodium_album,Chenalbu,Amaranthaceae,herb,no,no,no,NA,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3,0.564,0.55
Chenopodium_polyspermum,Chenpoly,Amaranthaceae,herb,no,no,no,NA,4,NA,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.21,0.265,0.688
