id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L1_18_2021,2021,south,dry_grassland,2021,-0.1947440117868083,0.3587013272990765,-0.02236579753931777,0.1905167811556726
L1_18_seeded,seeded,south,dry_grassland,seeded,0.7683571794054684,0.5676952041006704,0.5377147617840167,-0.09756544043457768
L1_19_2018,2018,south,dry_grassland,2018,-1.2041140630899259,0.052539333396598505,-0.11340211503171282,-0.11907083492843955
L1_19_2019,2019,south,dry_grassland,2019,-0.47796485356930185,0.22345932247692094,-0.5579864812065191,-0.11310545854624686
L1_19_2020,2020,south,dry_grassland,2020,-0.051085992120894486,0.6626323309198753,-0.11173635142972259,0.11953103169259205
L1_19_2021,2021,south,dry_grassland,2021,-0.2791692457558995,0.9396649693720541,-0.02236579753931777,0.1905167811556726
L1_19_seeded,seeded,south,dry_grassland,seeded,1.1282382137417917,0.30799640968302555,0.5377147617840167,-0.09756544043457768
L1_20_2018,2018,south,hay_meadow,2018,-1.4325163901026534,0.03514422117166094,-0.11340211503171282,-0.11907083492843955
L1_20_2019,2019,south,hay_meadow,2019,-0.4798218894569419,0.081505716606491,-0.5579864812065191,-0.11310545854624686
L1_20_2020,2020,south,hay_meadow,2020,-0.1845814483501749,0.17118690160161834,-0.11173635142972259,0.11953103169259205
L1_20_2021,2021,south,hay_meadow,2021,-0.09826837006289606,0.5304441475486775,-0.02236579753931777,0.1905167811556726
L1_20_seeded,seeded,south,hay_meadow,seeded,0.7212787241626624,-0.5260891924978027,0.5377147617840167,-0.09756544043457768
L1_21_2018,2018,south,hay_meadow,2018,-0.9483939448901928,-0.32295340731099187,-0.11340211503171282,-0.11907083492843955
L1_21_2019,2019,south,hay_meadow,2019,-0.610303180058382,0.269644832554123,-0.5579864812065191,-0.11310545854624686
L1_21_2020,2020,south,hay_meadow,2020,-0.360734301038537,0.41470453425154824,-0.11173635142972259,0.11953103169259205
L1_21_2021,2021,south,hay_meadow,2021,-0.08297869806191523,0.2999275784982255,-0.02236579753931777,0.1905167811556726
L1_21_seeded,seeded,south,hay_meadow,seeded,0.6118897024535417,-0.5509561896094135,0.5377147617840167,-0.09756544043457768
L1_22_2018,2018,south,dry_grassland,2018,-1.055321926370461,-0.09941838967490824,-0.11340211503171282,-0.11907083492843955
L1_22_2019,2019,south,dry_grassland,2019,-0.4711701245628334,0.31539238732081415,-0.5579864812065191,-0.11310545854624686
L1_22_2020,2020,south,dry_grassland,2020,-0.3640142771375708,0.4734556728954052,-0.11173635142972259,0.11953103169259205
L1_22_2021,2021,south,dry_grassland,2021,-0.14528271478271246,0.4683562063804221,-0.02236579753931777,0.1905167811556726
L1_22_seeded,seeded,south,dry_grassland,seeded,0.9374112771134566,0.467324153022668,0.5377147617840167,-0.09756544043457768
L1_23_2018,2018,south,hay_meadow,2018,-1.2312409528876014,0.011839579765082452,-0.11340211503171282,-0.11907083492843955
L1_23_2019,2019,south,hay_meadow,2019,-0.8371479368913717,0.181697375633606,-0.5579864812065191,-0.11310545854624686
L1_23_2020,2020,south,hay_meadow,2020,-0.4611105748753639,0.3618445548378465,-0.11173635142972259,0.11953103169259205
L1_23_2021,2021,south,hay_meadow,2021,-0.34856415131678764,0.5871808099557563,-0.02236579753931777,0.1905167811556726
L1_23_seeded,seeded,south,hay_meadow,seeded,0.8311384029238366,-0.45490776609402567,0.5377147617840167,-0.09756544043457768
L1_24_2018,2018,south,dry_grassland,2018,-0.9844745982296681,-0.016212409455406803,-0.11340211503171282,-0.11907083492843955
L1_24_2019,2019,south,dry_grassland,2019,-0.6755677045522518,0.1483740453871127,-0.5579864812065191,-0.11310545854624686
