id,reference,exposition,target_type,group_type,NMDS1,NMDS2,mean1,mean2
L3_04_seeded,seeded,south,dry_grassland,seeded,0.961239546306669,0.2387359317591082,0.5377147617840167,-0.09756544043457768
L3_05_2018,2018,south,hay_meadow,2018,-0.8440235660013558,-0.1867820844351425,-0.11340211503171282,-0.11907083492843955
L3_05_2019,2019,south,hay_meadow,2019,-0.4877354030371946,0.22514551873998176,-0.5579864812065191,-0.11310545854624686
L3_05_2020,2020,south,hay_meadow,2020,-0.280620642209151,0.4215715591046871,-0.11173635142972259,0.11953103169259205
L3_05_2021,2021,south,hay_meadow,2021,-0.0685713220487602,0.6348205743387516,-0.02236579753931777,0.1905167811556726
L3_05_seeded,seeded,south,hay_meadow,seeded,0.7759982197180447,-0.6156937812710762,0.5377147617840167,-0.09756544043457768
L3_06_2018,2018,south,hay_meadow,2018,-0.9722496665111596,-0.2409709931379086,-0.11340211503171282,-0.11907083492843955
L3_06_2019,2019,south,hay_meadow,2019,-0.4743660564756228,0.290939799463232,-0.5579864812065191,-0.11310545854624686
L3_06_2020,2020,south,hay_meadow,2020,-0.4122932196385821,0.27621657765418955,-0.11173635142972259,0.11953103169259205
L3_06_2021,2021,south,hay_meadow,2021,-0.22504029272481293,0.4733403106451376,-0.02236579753931777,0.1905167811556726
L3_06_seeded,seeded,south,hay_meadow,seeded,0.639380620844864,-0.6784598817246756,0.5377147617840167,-0.09756544043457768
L3_07_2018,2018,south,dry_grassland,2018,-0.9791903967517978,-0.7464818243168427,-0.11340211503171282,-0.11907083492843955
L3_07_2019,2019,south,dry_grassland,2019,-0.21029743823081634,0.4631412113181522,-0.5579864812065191,-0.11310545854624686
L3_07_2020,2020,south,dry_grassland,2020,-0.23463857741473557,0.26277853038295773,-0.11173635142972259,0.11953103169259205
L3_07_2021,2021,south,dry_grassland,2021,-0.14352008224795115,0.5838177500585323,-0.02236579753931777,0.1905167811556726
L3_07_seeded,seeded,south,dry_grassland,seeded,1.0306228092848297,0.3366145968340569,0.5377147617840167,-0.09756544043457768
