plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,cwmAbuN,cwmAbuF,cwmAbuT,fdisAbuLHS,fdisAbuSla,cwmAbuSla,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight,fdisAbuSrl,cwmAbuSrl,fdisAbuRmf,cwmAbuRmf,fdisAbuAll
L3_17,3,L_353,4,south,land,5,25,30,3,dry_grassland,4,2018,55,Jakob Huber,NA,L3_17_2018,257,257,2.86,3.97,6,0.869,0.263,25.238,0.451,2.649,0.57,0.427,0.718,169.691,0.546,0.346,1.078
L3_17,3,L_353,4,south,land,5,25,30,3,dry_grassland,4,2019,85,Linda Weggler,NA,L3_17_2019,258,258,3.405,3.859,5.977,1.118,0.313,23.821,0.534,2.062,0.752,0.379,1.337,113.339,0.388,0.297,1.228
L3_17,3,L_353,4,south,land,5,25,30,3,dry_grassland,4,2020,80,Katharina Beck,NA,L3_17_2020,259,259,6.76,4.045,6.083,1.263,0.376,21.288,0.881,2.522,0.777,0.361,1.056,75.789,0.593,0.242,1.399
L3_17,3,L_353,4,south,land,5,25,30,3,dry_grassland,4,2021,70,Markus Bauer,NA,L3_17_2021,260,260,2.667,4.031,5.971,0.872,0.297,23.136,0.726,4.097,0.264,0.231,1.244,67.027,0.089,0.321,0.851
L3_18,3,L_354,4,south,land,5,25,30,4,dry_grassland,8,2018,55,Jakob Huber,NA,L3_18_2018,261,261,2.943,3.91,5.986,0.949,0.33,22.889,0.682,3.382,0.411,0.257,1.331,88.559,0.34,0.345,1.007
L3_18,3,L_354,4,south,land,5,25,30,4,dry_grassland,8,2019,70,Linda Weggler,NA,L3_18_2019,262,262,3.397,3.772,5.976,1.06,0.39,22.308,0.598,2.124,0.589,0.351,1.15,141.068,0.644,0.351,1.38
L3_18,3,L_354,4,south,land,5,25,30,4,dry_grassland,8,2020,75,Katharina Beck,NA,L3_18_2020,263,263,7.044,4.107,6.022,1.27,0.404,21.395,0.907,2.535,0.764,0.347,1.044,71.51,0.586,0.24,1.386
L3_18,3,L_354,4,south,land,5,25,30,4,dry_grassland,8,2021,80,Markus Bauer,NA,L3_18_2021,264,264,3.326,3.98,6.014,1.039,0.343,21.07,0.816,2.103,0.435,0.271,1.256,102.103,0.294,0.296,1.045
L3_19,3,L_351,4,south,land,5,25,30,1,hay_meadow,4,2018,50,Jakob Huber,NA,L3_19_2018,265,265,3,3.892,5.984,1.198,0.506,21.23,0.76,1.96,0.664,0.349,0.999,151.946,0.502,0.389,1.042
L3_19,3,L_351,4,south,land,5,25,30,1,hay_meadow,4,2019,80,Linda Weggler,NA,L3_19_2019,266,266,3.691,3.864,6,1.369,0.474,20.166,0.914,1.555,0.786,0.361,1.319,95.099,0.461,0.343,1.269
L3_19,3,L_351,4,south,land,5,25,30,1,hay_meadow,4,2020,80,Katharina Beck,NA,L3_19_2020,267,267,6.677,4.4,5.976,1.273,0.37,22.261,0.875,2.874,0.753,0.332,1.003,63.391,0.567,0.261,1.384
L3_19,3,L_351,4,south,land,5,25,30,1,hay_meadow,4,2021,80,Markus Bauer,NA,L3_19_2021,268,268,3.253,4.154,5.973,1.034,0.343,21.386,0.83,1.663,0.385,0.27,1.294,104.811,0.21,0.31,1.01
L3_20,3,L_352,4,south,land,5,25,30,2,hay_meadow,8,2018,70,Jakob Huber,NA,L3_20_2018,269,269,3.686,4.255,5.979,1.184,0.447,23.665,0.854,0.909,0.428,0.284,1.306,121.402,0.092,0.325,0.886
L3_20,3,L_352,4,south,land,5,25,30,2,hay_meadow,8,2019,80,Linda Weggler,NA,L3_20_2019,270,270,4.582,4.174,5.956,1.327,0.342,22.559,0.907,1.954,0.727,0.326,0.982,69.924,0.368,0.351,1.318
L3_20,3,L_352,4,south,land,5,25,30,2,hay_meadow,8,2020,80,Katharina Beck,NA,L3_20_2020,271,271,5.873,5.731,5.986,1.159,0.446,21.784,0.606,3.949,0.772,0.367,0.915,57.028,0.515,0.262,1.256
L3_20,3,L_352,4,south,land,5,25,30,2,hay_meadow,8,2021,80,Markus Bauer,NA,L3_20_2021,272,272,4.214,4.16,5.971,1.142,0.395,21.167,0.735,1.454,0.681,0.333,1.06,114.304,0.453,0.287,1.12
L3_21,3,L_361,4,south,land,6,50,30,1,hay_meadow,4,2018,60,Jakob Huber,NA,L3_21_2018,273,273,2.986,3.955,5.916,1.1,0.449,21.794,0.689,1.272,0.636,0.292,0.845,206.17,0.432,0.361,0.913
L3_21,3,L_361,4,south,land,6,50,30,1,hay_meadow,4,2019,70,Linda Weggler,NA,L3_21_2019,274,274,4.08,3.892,6.006,1.599,0.468,21.109,1.189,1.649,0.867,0.342,0.93,52.842,0.423,0.341,1.131
L3_21,3,L_361,4,south,land,6,50,30,1,hay_meadow,4,2020,75,Katharina Beck,NA,L3_21_2020,275,275,6.786,4.151,5.97,1.054,0.308,23.363,0.732,4.601,0.649,0.277,0.851,49.932,0.424,0.277,1.103
L3_21,3,L_361,4,south,land,6,50,30,1,hay_meadow,4,2021,70,Markus Bauer,NA,L3_21_2021,276,276,2.907,4.059,5.964,0.944,0.335,20.73,0.643,1.949,0.472,0.29,1.17,127.971,0.21,0.305,0.948
L3_22,3,L_364,4,south,land,6,50,30,4,dry_grassland,8,2018,70,Jakob Huber,NA,L3_22_2018,277,277,2.507,4.047,5.947,0.7,0.29,20.554,0.502,1.388,0.287,0.271,0.716,195.049,0.17,0.335,0.675
L3_22,3,L_364,4,south,land,6,50,30,4,dry_grassland,8,2019,70,Linda Weggler,NA,L3_22_2019,278,278,3.602,3.949,5.991,1.189,0.345,22.606,0.791,2.612,0.661,0.303,1.153,76.415,0.384,0.338,1.12
L3_22,3,L_364,4,south,land,6,50,30,4,dry_grassland,8,2020,70,Katharina Beck,NA,L3_22_2020,279,279,6.533,4.059,6.02,0.881,0.281,23.618,0.577,5.73,0.574,0.259,0.641,42.844,0.344,0.284,0.84
L3_22,3,L_364,4,south,land,6,50,30,4,dry_grassland,8,2021,70,Markus Bauer,NA,L3_22_2021,280,280,3.769,4.018,5.992,0.973,0.424,18.05,0.429,2.764,0.647,0.37,1.3,91.973,0.264,0.303,1.058
L3_23,3,L_362,4,south,land,6,50,30,2,hay_meadow,8,2018,75,Jakob Huber,NA,L3_23_2018,281,281,3.152,3.988,5.992,1.052,0.405,18.943,0.551,2.595,0.642,0.321,1.387,100.56,0.098,0.324,0.919
L3_23,3,L_362,4,south,land,6,50,30,2,hay_meadow,8,2019,70,Linda Weggler,NA,L3_23_2019,282,282,3.338,3.935,6,1.335,0.412,20.94,0.977,2.027,0.645,0.284,1.431,94.185,0.415,0.318,1.373
L3_23,3,L_362,4,south,land,6,50,30,2,hay_meadow,8,2020,80,Katharina Beck,NA,L3_23_2020,283,283,6.611,4.034,6.009,0.596,0.167,24.59,0.411,7.129,0.378,0.233,0.421,37.865,0.194,0.299,0.543
L3_23,3,L_362,4,south,land,6,50,30,2,hay_meadow,8,2021,70,Markus Bauer,NA,L3_23_2021,284,284,2.616,4.062,5.986,0.939,0.335,21.427,0.765,2.481,0.274,0.247,1.336,102.957,0.089,0.316,0.918
L3_24,3,L_363,4,south,land,6,50,30,3,dry_grassland,4,2018,50,Jakob Huber,NA,L3_24_2018,285,285,3.704,4,5.992,0.752,0.35,16.377,0.261,2.696,0.56,0.422,1.385,101.053,0.113,0.321,0.982
L3_24,3,L_363,4,south,land,6,50,30,3,dry_grassland,4,2019,70,Linda Weggler,NA,L3_24_2019,286,286,4.476,4.057,5.992,1.358,0.312,22.73,1.009,2.231,0.705,0.289,1.174,74.488,0.528,0.339,1.451
L3_24,3,L_363,4,south,land,6,50,30,3,dry_grassland,4,2020,70,Katharina Beck,NA,L3_24_2020,287,287,6.962,4.048,6.011,0.903,0.261,23.983,0.646,5.3,0.543,0.256,0.675,43.736,0.365,0.283,0.946
L3_24,3,L_363,4,south,land,6,50,30,3,dry_grassland,4,2021,80,Markus Bauer,NA,L3_24_2021,288,288,3.084,4,5.978,1.073,0.378,21.104,0.812,2.423,0.43,0.268,1.335,91.354,0.175,0.308,1.002
L4_01,4,L_413,4,south,land,1,0,15,3,dry_grassland,4,2018,50,Jakob Huber,NA,L4_01_2018,289,289,2.32,4.022,5.97,0.833,0.296,20.786,0.681,1.671,0.24,0.25,1.158,145.148,0.1,0.323,0.823
L4_01,4,L_413,4,south,land,1,0,15,3,dry_grassland,4,2019,60,Linda Weggler,NA,L4_01_2019,290,290,3.686,4.024,5.962,1.401,0.31,22.217,1.204,1.614,0.42,0.23,1.632,109.59,0.475,0.29,1.47
L4_01,4,L_413,4,south,land,1,0,15,3,dry_grassland,4,2020,65,Katharina Beck,NA,L4_01_2020,291,291,6.857,4.123,6.044,0.893,0.242,23.985,0.628,5.651,0.55,0.252,0.671,43.528,0.3,0.29,0.877
L4_01,4,L_413,4,south,land,1,0,15,3,dry_grassland,4,2021,80,Markus Bauer,NA,L4_01_2021,292,292,3.869,4.312,5.99,1.222,0.261,22.774,0.788,5.27,0.799,0.359,1.314,81.294,0.181,0.31,1.012
L4_02,4,L_414,4,south,land,1,0,15,4,dry_grassland,8,2018,40,Jakob Huber,NA,L4_02_2018,293,293,3.472,4.232,5.972,1.218,0.346,22.644,0.974,1.602,0.521,0.282,1.208,100.26,0.193,0.334,1.181
L4_02,4,L_414,4,south,land,1,0,15,4,dry_grassland,8,2019,80,Linda Weggler,NA,L4_02_2019,294,294,4.916,4.082,5.825,1.399,0.361,21.682,1.033,1.959,0.75,0.315,1.207,88.088,0.508,0.336,1.496
L4_02,4,L_414,4,south,land,1,0,15,4,dry_grassland,8,2020,85,Katharina Beck,NA,L4_02_2020,295,295,7.195,4.215,6.072,1.027,0.232,24.635,0.609,5.848,0.739,0.288,0.633,42.564,0.324,0.285,1.011
L4_02,4,L_414,4,south,land,1,0,15,4,dry_grassland,8,2021,70,Markus Bauer,NA,L4_02_2021,296,296,2.846,4.124,5.987,0.995,0.304,22.148,0.787,2.688,0.325,0.256,1.362,94.711,0.09,0.32,0.923
L4_03,4,L_412,4,south,land,1,0,15,2,hay_meadow,8,2018,25,Jakob Huber,NA,L4_03_2018,297,297,2.614,4.089,5.964,0.802,0.304,21.266,0.62,1.398,0.282,0.266,0.946,165.612,0.252,0.344,0.846
L4_03,4,L_412,4,south,land,1,0,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L4_03_2019,298,298,4.173,4.07,5.979,1.403,0.324,22.34,1.092,1.681,0.686,0.292,1.243,93.944,0.548,0.343,1.491
L4_03,4,L_412,4,south,land,1,0,15,2,hay_meadow,8,2020,65,Katharina Beck,NA,L4_03_2020,299,299,6.901,4.053,6.1,0.702,0.238,18.501,0.505,0.898,0.39,0.477,0.518,129.006,0.333,0.197,0.731
L4_03,4,L_412,4,south,land,1,0,15,2,hay_meadow,8,2021,70,Markus Bauer,NA,L4_03_2021,300,300,3.968,4.076,6,0.767,0.401,16.752,0.336,3.228,0.494,0.452,1.226,77.469,0.27,0.336,1.059
L4_04,4,L_411,4,south,land,1,0,15,1,hay_meadow,4,2018,20,Jakob Huber,NA,L4_04_2018,301,301,3.02,4.07,5.973,0.87,0.288,17.955,0.516,1.374,0.59,0.339,0.489,217.601,0.166,0.331,0.435
L4_04,4,L_411,4,south,land,1,0,15,1,hay_meadow,4,2019,60,Linda Weggler,NA,L4_04_2019,302,302,3.991,4.081,5.973,1.276,0.387,18.407,0.866,1.354,0.746,0.365,1.361,148.478,0.522,0.3,1.578
L4_04,4,L_411,4,south,land,1,0,15,1,hay_meadow,4,2020,60,Katharina Beck,NA,L4_04_2020,303,303,7,4.012,6.125,0.589,0.201,18.363,0.44,0.837,0.32,0.491,0.464,132.741,0.282,0.194,0.641
L4_04,4,L_411,4,south,land,1,0,15,1,hay_meadow,4,2021,70,Markus Bauer,NA,L4_04_2021,304,304,2.989,3.816,5.989,1.073,0.363,21.377,0.79,2.34,0.497,0.267,1.159,100.552,0.258,0.319,0.988
L4_05,4,L_424,4,south,land,2,25,15,4,dry_grassland,8,2018,25,Jakob Huber,NA,L4_05_2018,305,305,2.845,3.682,5.958,0.969,0.346,21.989,0.749,2.916,0.381,0.23,1.04,93.305,0.186,0.302,0.812
L4_05,4,L_424,4,south,land,2,25,15,4,dry_grassland,8,2019,60,Linda Weggler,NA,L4_05_2019,306,306,4.495,4.041,5.832,1.493,0.508,21.277,0.854,1.909,0.931,0.447,0.975,74.925,0.589,0.388,1.53
L4_05,4,L_424,4,south,land,2,25,15,4,dry_grassland,8,2020,40,Katharina Beck,NA,L4_05_2020,307,307,6.947,4.081,6.057,0.944,0.304,19.202,0.699,1.205,0.542,0.431,0.793,107.529,0.458,0.208,1.039
L4_05,4,L_424,4,south,land,2,25,15,4,dry_grassland,8,2021,50,Markus Bauer,NA,L4_05_2021,308,308,3.562,4.03,6,1.081,0.341,20.653,0.803,1.73,0.585,0.303,1.136,123.279,0.34,0.293,1.094
L4_06,4,L_421,4,south,land,2,25,15,1,hay_meadow,4,2018,35,Jakob Huber,NA,L4_06_2018,309,309,2.661,3.81,6,0.968,0.273,19.35,0.62,1.044,0.622,0.311,0.919,165.099,0.166,0.332,0.76
L4_06,4,L_421,4,south,land,2,25,15,1,hay_meadow,4,2019,60,Linda Weggler,NA,L4_06_2019,310,310,4.179,3.865,5.992,1.484,0.393,20.953,1.065,1.352,0.826,0.324,1.233,86.463,0.445,0.326,1.498
L4_06,4,L_421,4,south,land,2,25,15,1,hay_meadow,4,2020,50,Katharina Beck,NA,L4_06_2020,311,311,6.947,4.019,6,0.524,0.194,18.306,0.383,0.788,0.28,0.501,0.384,138.428,0.278,0.193,0.584
L4_06,4,L_421,4,south,land,2,25,15,1,hay_meadow,4,2021,60,Markus Bauer,NA,L4_06_2021,312,312,6.069,3.983,6,1.193,0.377,21.594,0.865,2.8,0.676,0.304,1.09,67.375,0.55,0.255,1.295
L4_07,4,L_423,4,south,land,2,25,15,3,dry_grassland,4,2018,30,Jakob Huber,NA,L4_07_2018,313,313,3.949,3.61,5.979,0.86,0.37,22.909,0.58,2.668,0.342,0.218,1.627,122.574,0.415,0.375,0.717
L4_07,4,L_423,4,south,land,2,25,15,3,dry_grassland,4,2019,60,Linda Weggler,NA,L4_07_2019,314,314,2.957,3.987,5.989,1.524,0.297,22.502,1.427,1.242,0.187,0.193,1.794,125.938,0.574,0.266,1.658
L4_07,4,L_423,4,south,land,2,25,15,3,dry_grassland,4,2020,55,Katharina Beck,NA,L4_07_2020,315,315,6.945,3.985,6,0.842,0.451,20.994,0.558,1.06,0.341,0.518,0.587,123.745,0.444,0.213,0.906
L4_07,4,L_423,4,south,land,2,25,15,3,dry_grassland,4,2021,50,Markus Bauer,NA,L4_07_2021,316,316,3.333,3.968,6,0.591,0.094,26.303,0.241,2.421,0.506,0.558,1.057,55.87,0.109,0.275,0.579
L4_08,4,L_422,4,south,land,2,25,15,2,hay_meadow,8,2018,45,Jakob Huber,NA,L4_08_2018,317,317,3.5,3.667,5.929,0.276,0.047,26.758,0.078,2.161,0.247,0.627,1.299,72.922,0.039,0.27,0.25
L4_08,4,L_422,4,south,land,2,25,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L4_08_2019,318,318,3.933,3.895,5.943,0.678,0.159,25.723,0.251,2.358,0.534,0.542,1.201,56.322,0.095,0.271,0.617
L4_08,4,L_422,4,south,land,2,25,15,2,hay_meadow,8,2020,60,Katharina Beck,NA,L4_08_2020,319,319,6.714,4.018,6,1.352,0.41,22.866,0.952,2.906,0.825,0.338,1.042,65.152,0.553,0.254,1.372
L4_08,4,L_422,4,south,land,2,25,15,2,hay_meadow,8,2021,60,Markus Bauer,NA,L4_08_2021,320,320,4.205,4.016,5.983,1.072,0.338,21.074,0.8,1.965,0.545,0.291,1.062,103.771,0.471,0.277,1.174
L4_09,4,L_432,4,south,land,3,50,15,2,hay_meadow,8,2018,55,Jakob Huber,NA,L4_09_2018,321,321,2.6,4.018,6,0.844,0.312,22.858,0.637,2.56,0.278,0.22,1.38,132.779,0.264,0.342,0.889
L4_09,4,L_432,4,south,land,3,50,15,2,hay_meadow,8,2019,60,Linda Weggler,NA,L4_09_2019,322,322,4.162,3.891,5.988,1.357,0.351,21.515,0.875,1.576,0.814,0.319,1.343,108.3,0.473,0.321,1.44
L4_09,4,L_432,4,south,land,3,50,15,2,hay_meadow,8,2020,65,Katharina Beck,NA,L4_09_2020,323,323,6.9,4.2,6,0.961,0.226,24.219,0.644,5.654,0.628,0.268,0.742,45.709,0.361,0.292,1.029
L4_09,4,L_432,4,south,land,3,50,15,2,hay_meadow,8,2021,70,Markus Bauer,NA,L4_09_2021,324,324,5.033,4.231,6,1.125,0.359,20.905,0.797,1.505,0.651,0.337,0.982,118.529,0.569,0.269,1.286
L4_10,4,L_434,4,south,land,3,50,15,4,dry_grassland,8,2018,45,Jakob Huber,NA,L4_10_2018,325,325,3.586,4.224,5.992,0.827,0.146,25.291,0.491,3.333,0.489,0.221,1.59,153.957,0.386,0.386,0.757
L4_10,4,L_434,4,south,land,3,50,15,4,dry_grassland,8,2019,60,Linda Weggler,NA,L4_10_2019,326,326,4.28,4.073,5.962,1.529,0.369,21.723,1.166,0.722,0.778,0.304,1.326,211.54,0.72,0.285,1.73
L4_10,4,L_434,4,south,land,3,50,15,4,dry_grassland,8,2020,40,Katharina Beck,NA,L4_10_2020,327,327,5.778,4.068,6.018,0.507,0.113,25.265,0.289,8.12,0.38,0.226,0.237,34.693,0.052,0.313,0.237
L4_10,4,L_434,4,south,land,3,50,15,4,dry_grassland,8,2021,70,Markus Bauer,NA,L4_10_2021,328,328,4.693,4.267,5.964,1.164,0.309,22.126,0.636,2.92,0.791,0.352,1.284,83.23,0.323,0.302,1.137
L4_11,4,L_433,4,south,land,3,50,15,3,dry_grassland,4,2018,45,Jakob Huber,NA,L4_11_2018,329,329,2.807,3.958,5.906,0.946,0.332,22.76,0.687,2.323,0.339,0.224,1.423,138.135,0.39,0.349,0.996
L4_11,4,L_433,4,south,land,3,50,15,3,dry_grassland,4,2019,60,Linda Weggler,NA,L4_11_2019,330,330,3.297,3.85,5.93,1.333,0.377,19.689,0.979,1.26,0.683,0.292,1.367,174.217,0.643,0.311,1.572
L4_11,4,L_433,4,south,land,3,50,15,3,dry_grassland,4,2020,45,Katharina Beck,NA,L4_11_2020,331,331,5.3,4.652,6.014,0.434,0.164,24.626,0.218,8.541,0.322,0.222,0.099,32.687,0.044,0.312,0.198
L4_11,4,L_433,4,south,land,3,50,15,3,dry_grassland,4,2021,70,Markus Bauer,NA,L4_11_2021,332,332,3.099,4.083,5.981,0.985,0.301,21.55,0.746,2.342,0.392,0.268,1.294,110.542,0.147,0.309,0.942
L4_12,4,L_431,4,south,land,3,50,15,1,hay_meadow,4,2018,25,Jakob Huber,NA,L4_12_2018,333,333,3.132,3.937,5.922,0.874,0.293,23.434,0.542,2.608,0.394,0.225,1.401,140.842,0.366,0.363,0.913
L4_12,4,L_431,4,south,land,3,50,15,1,hay_meadow,4,2019,40,Linda Weggler,NA,L4_12_2019,334,334,4.674,3.924,5.904,1.321,0.27,22.993,0.948,2.322,0.586,0.258,1.245,77.549,0.405,0.315,1.431
L4_12,4,L_431,4,south,land,3,50,15,1,hay_meadow,4,2020,40,Katharina Beck,NA,L4_12_2020,335,335,4.7,5.85,6.026,0.904,0.376,23.025,0.422,6.482,0.65,0.277,0.332,36.298,0.119,0.317,0.496
L4_12,4,L_431,4,south,land,3,50,15,1,hay_meadow,4,2021,60,Markus Bauer,NA,L4_12_2021,336,336,2.936,4.068,5.979,0.944,0.314,21.25,0.747,1.939,0.326,0.25,1.202,119.577,0.203,0.307,0.947
L4_13,4,L_442,4,south,land,4,0,30,2,hay_meadow,8,2018,45,Jakob Huber,NA,L4_13_2018,337,337,2.842,3.943,5.987,0.875,0.323,22.992,0.618,2.662,0.335,0.217,1.395,134.368,0.36,0.358,0.915
L4_13,4,L_442,4,south,land,4,0,30,2,hay_meadow,8,2019,70,Linda Weggler,NA,L4_13_2019,338,338,3.489,3.949,5.907,1.496,0.332,20.52,1.215,0.576,0.613,0.243,1.314,225.507,0.781,0.283,1.733
L4_13,4,L_442,4,south,land,4,0,30,2,hay_meadow,8,2020,80,Katharina Beck,NA,L4_13_2020,339,339,6.6,4.176,6.044,0.417,0.07,25.399,0.236,8.424,0.326,0.227,0.205,34.179,0.082,0.316,0.354
L4_13,4,L_442,4,south,land,4,0,30,2,hay_meadow,8,2021,80,Markus Bauer,NA,L4_13_2021,340,340,2.853,4.009,6,0.898,0.313,21.153,0.743,2.014,0.27,0.252,1.22,119.277,0.203,0.306,0.936
L4_14,4,L_443,4,south,land,4,0,30,3,dry_grassland,4,2018,55,Jakob Huber,NA,L4_14_2018,341,341,2.197,4,6,0.898,0.307,21.745,0.782,2.524,0.228,0.232,1.348,105.712,0.073,0.32,0.896
L4_14,4,L_443,4,south,land,4,0,30,3,dry_grassland,4,2019,70,Linda Weggler,NA,L4_14_2019,342,342,3.404,3.932,5.983,1.289,0.285,21.602,1.046,1.495,0.535,0.265,1.379,115.414,0.506,0.325,1.452
L4_14,4,L_443,4,south,land,4,0,30,3,dry_grassland,4,2020,70,Katharina Beck,NA,L4_14_2020,343,343,6.981,4.072,6.091,0.393,0.152,18.044,0.29,0.72,0.2,0.514,0.302,143.195,0.202,0.189,0.418
L4_14,4,L_443,4,south,land,4,0,30,3,dry_grassland,4,2021,70,Markus Bauer,NA,L4_14_2021,344,344,4.575,4.086,6,1.17,0.366,22.625,0.861,2.056,0.557,0.289,1.173,84.145,0.385,0.296,1.164
L4_15,4,L_444,4,south,land,4,0,30,4,dry_grassland,8,2018,60,Jakob Huber,NA,L4_15_2018,345,345,5.235,4.03,6,1.149,0.171,23.814,0.535,2.779,0.891,0.354,0.937,82.309,0.4,0.376,1.19
L4_15,4,L_444,4,south,land,4,0,30,4,dry_grassland,8,2019,80,Linda Weggler,NA,L4_15_2019,346,346,5.758,3.955,5.99,1.588,0.295,22.073,1.119,1.091,0.906,0.319,1.364,116.712,0.662,0.312,1.756
L4_15,4,L_444,4,south,land,4,0,30,4,dry_grassland,8,2020,80,Katharina Beck,NA,L4_15_2020,347,347,7,4.054,6.083,0.49,0.199,18.289,0.334,0.754,0.252,0.511,0.288,144.587,0.228,0.19,0.477
L4_15,4,L_444,4,south,land,4,0,30,4,dry_grassland,8,2021,90,Markus Bauer,NA,L4_15_2021,348,348,4,4,6.01,0.719,0.344,16.608,0.307,2.395,0.49,0.448,1.002,124.074,0.333,0.318,1.069
L4_16,4,L_441,4,south,land,4,0,30,1,hay_meadow,4,2018,30,Jakob Huber,NA,L4_16_2018,349,349,4.639,4.286,5.986,1.117,0.424,20.842,0.372,2.517,0.841,0.404,1.243,126.506,0.407,0.376,1.217
L4_16,4,L_441,4,south,land,4,0,30,1,hay_meadow,4,2019,70,Linda Weggler,NA,L4_16_2019,350,350,4.182,3.957,5.983,1.26,0.447,18.854,0.707,2.203,0.769,0.338,1.398,90.306,0.524,0.308,1.62
L4_16,4,L_441,4,south,land,4,0,30,1,hay_meadow,4,2020,65,Katharina Beck,NA,L4_16_2020,351,351,6.909,4.011,6.045,1.222,0.391,20.719,0.881,2.079,0.726,0.359,1.025,78.408,0.602,0.234,1.361
L4_16,4,L_441,4,south,land,4,0,30,1,hay_meadow,4,2021,90,Markus Bauer,NA,L4_16_2021,352,352,4.823,3.982,6,1.147,0.564,17.799,0.518,3.351,0.695,0.387,0.974,60.299,0.521,0.276,1.423
L4_17,4,L_451,4,south,land,5,25,30,1,hay_meadow,4,2018,35,Jakob Huber,NA,L4_17_2018,353,353,4.71,3.935,5.988,1.093,0.14,24.634,0.373,2.859,0.913,0.308,1.269,123.639,0.359,0.405,1.137
L4_17,4,L_451,4,south,land,5,25,30,1,hay_meadow,4,2019,65,Linda Weggler,NA,L4_17_2019,354,354,4.638,3.916,5.966,1.341,0.429,20.012,0.759,2.133,0.82,0.343,1.245,89.392,0.53,0.318,1.616
L4_17,4,L_451,4,south,land,5,25,30,1,hay_meadow,4,2020,50,Katharina Beck,NA,L4_17_2020,355,355,7,4.02,6.182,0.737,0.294,19.056,0.53,0.937,0.393,0.474,0.599,122.385,0.391,0.201,0.816
L4_17,4,L_451,4,south,land,5,25,30,1,hay_meadow,4,2021,70,Markus Bauer,NA,L4_17_2021,356,356,6.353,3.969,6,1.159,0.318,22.787,0.759,3.515,0.757,0.315,0.938,60.567,0.537,0.285,1.296
L4_18,4,L_452,4,south,land,5,25,30,2,hay_meadow,8,2018,60,Jakob Huber,NA,L4_18_2018,357,357,5.065,3.857,6,1.109,0.204,23.572,0.45,2.776,0.886,0.359,0.898,87.255,0.402,0.399,1.167
L4_18,4,L_452,4,south,land,5,25,30,2,hay_meadow,8,2019,70,Linda Weggler,NA,L4_18_2019,358,358,4.418,3.924,6,1.429,0.354,21.345,1.085,1.289,0.727,0.308,1.34,93.374,0.545,0.321,1.764
L4_18,4,L_452,4,south,land,5,25,30,2,hay_meadow,8,2020,55,Katharina Beck,NA,L4_18_2020,359,359,6.973,4,6,0.913,0.344,19.483,0.639,1.036,0.521,0.443,0.724,113.48,0.453,0.206,0.992
L4_18,4,L_452,4,south,land,5,25,30,2,hay_meadow,8,2021,70,Markus Bauer,NA,L4_18_2021,360,360,5.671,4.043,6,1.197,0.405,21.544,0.782,3.13,0.729,0.317,1.078,64.088,0.533,0.264,1.273
L4_19,4,L_453,4,south,land,5,25,30,3,dry_grassland,4,2018,40,Jakob Huber,NA,L4_19_2018,361,361,3.134,3.952,5.994,0.903,0.405,22.572,0.373,2.881,0.55,0.236,1.277,190.34,0.397,0.379,0.718
L4_19,4,L_453,4,south,land,5,25,30,3,dry_grassland,4,2019,70,Linda Weggler,NA,L4_19_2019,362,362,3.349,3.84,5.991,1.624,0.413,20.118,1.266,1.145,0.769,0.279,1.708,113.107,0.516,0.267,1.609
L4_19,4,L_453,4,south,land,5,25,30,3,dry_grassland,4,2020,55,Katharina Beck,NA,L4_19_2020,363,363,6.895,4.061,6,0.777,0.265,18.831,0.567,0.983,0.438,0.461,0.63,120.699,0.414,0.203,0.867
L4_19,4,L_453,4,south,land,5,25,30,3,dry_grassland,4,2021,60,Markus Bauer,NA,L4_19_2021,364,364,4.622,4.123,6,1.035,0.33,23.676,0.476,2.218,0.75,0.434,1.172,94.306,0.298,0.272,1.082
L4_20,4,L_454,4,south,land,5,25,30,4,dry_grassland,8,2018,40,Jakob Huber,NA,L4_20_2018,365,365,2.988,4.043,5.988,1.083,0.287,23.69,0.539,2.183,0.667,0.284,1.362,143.002,0.332,0.332,1.121
L4_20,4,L_454,4,south,land,5,25,30,4,dry_grassland,8,2019,70,Linda Weggler,NA,L4_20_2019,366,366,4.054,3.961,5.989,1.557,0.35,21.842,1.223,1.335,0.627,0.251,1.717,111.12,0.524,0.274,1.659
L4_20,4,L_454,4,south,land,5,25,30,4,dry_grassland,8,2020,55,Katharina Beck,NA,L4_20_2020,367,367,7,4.008,6.045,0.711,0.248,18.679,0.518,0.914,0.405,0.47,0.589,123.584,0.355,0.199,0.78
L4_20,4,L_454,4,south,land,5,25,30,4,dry_grassland,8,2021,70,Markus Bauer,NA,L4_20_2021,368,368,5.237,4.03,6,0.844,0.243,24.829,0.377,2.339,0.61,0.497,1.143,75.292,0.208,0.266,0.88
L4_21,4,L_464,4,south,land,6,50,30,4,dry_grassland,8,2018,30,Jakob Huber,NA,L4_21_2018,369,369,3.056,4.032,5.989,1.078,0.092,25.945,0.536,3.654,0.89,0.38,0.835,45.517,0.21,0.29,1.083
