plot,block,idTreatment,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,bioMass,id,conf.low,conf.high,cwmAbuN,cwmAbuF,cwmAbuT,fdisAbuLHS,fdisAbuSla,cwmAbuSla,fdisAbuSeedmass,cwmAbuSeedmass,fdisAbuHeight,cwmAbuHeight,fdisAbuSrl,cwmAbuSrl,fdisAbuRmf,cwmAbuRmf,fdisAbuAll
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2019,70,Linda Weggler,NA,L1_06_2019,22,22,3.712,3.839,6.392,1.5,0.467,19.607,0.89,0.262,0.936,0.293,0.665,141.737,0.28,0.332,1.524
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2020,80,Jakob Huber,NA,L1_06_2020,23,23,7.006,4.03,6.333,0.112,0.09,17.708,0.043,0.572,0.02,0.55,0.026,161.252,0.023,0.18,0.041
L1_06,1,L_123,4,south,land,2,25,15,3,dry_grassland,4,2021,90,Markus Bauer,NA,L1_06_2021,24,24,5.163,4.273,5.897,1.148,0.356,23.067,0.679,1.37,0.694,0.405,0.562,190.407,0.643,0.285,1.245
L1_07,1,L_121,4,south,land,2,25,15,1,hay_meadow,4,2018,75,Jakob Huber,NA,L1_07_2018,25,25,3.913,4.389,5.965,1.196,0.18,25.335,0.551,2.651,0.878,0.287,1.037,221.536,0.375,0.406,0.892
L1_07,1,L_121,4,south,land,2,25,15,1,hay_meadow,4,2019,70,Linda Weggler,NA,L1_07_2019,26,26,4.775,4.536,5.943,1.205,0.237,24.283,0.722,2.249,0.748,0.399,1.068,173.088,0.518,0.402,1.149
L1_07,1,L_121,4,south,land,2,25,15,1,hay_meadow,4,2020,80,Jakob Huber,NA,L1_07_2020,27,27,6.906,4.078,6,0.269,0.098,17.768,0.228,0.674,0.076,0.565,0.017,162.551,0.032,0.18,0.047
L1_07,1,L_121,4,south,land,2,25,15,1,hay_meadow,4,2021,80,Markus Bauer,NA,L1_07_2021,28,28,4.462,4.48,5.98,1.372,0.311,21.339,1.074,3.232,0.675,0.492,0.308,219.849,0.667,0.284,0.986
L1_08,1,L_124,4,south,land,2,25,15,4,dry_grassland,8,2018,85,Jakob Huber,NA,L1_08_2018,29,29,3.86,4.704,5.966,1.266,0.193,25.173,0.712,3.347,0.854,0.349,0.51,302.216,0.208,0.459,0.918
L1_08,1,L_124,4,south,land,2,25,15,4,dry_grassland,8,2019,70,Linda Weggler,NA,L1_08_2019,30,30,4.539,4.771,5.935,1.274,0.398,25.196,0.739,1.317,0.784,0.319,0.51,308.397,0.978,0.338,1.449
L1_08,1,L_124,4,south,land,2,25,15,4,dry_grassland,8,2020,65,Jakob Huber,NA,L1_08_2020,31,31,6.957,4.078,6,0.222,0.142,17.993,0.113,0.603,0.064,0.553,0.012,163.583,0.013,0.179,0.034
L1_08,1,L_124,4,south,land,2,25,15,4,dry_grassland,8,2021,70,Markus Bauer,NA,L1_08_2021,32,32,5.425,4.795,6.03,0.564,0.162,25.504,0.487,3.157,0.103,0.687,0.295,172.532,0.109,0.262,0.233
L1_09,1,L_131,4,south,land,3,50,15,1,hay_meadow,4,2018,50,Jakob Huber,NA,L1_09_2018,33,33,5.474,4.8,5.778,0.272,0.08,26.54,0.119,2.082,0.179,0.647,0.644,179.418,0.143,0.276,0.262
L1_09,1,L_131,4,south,land,3,50,15,1,hay_meadow,4,2019,60,Linda Weggler,NA,L1_09_2019,34,34,4.779,4.525,6.08,1.085,0.234,25.53,0.544,2.321,0.685,0.47,0.954,212.842,0.709,0.361,1.278
L1_09,1,L_131,4,south,land,3,50,15,1,hay_meadow,4,2020,65,Jakob Huber,NA,L1_09_2020,35,35,6.976,4.006,6,0.097,0.049,17.521,0.075,0.596,0.021,0.549,0.047,159.783,0.068,0.182,0.091
