id,plot,site,esy,reference,exposition,sand_ratio,substrate_depth,target_type,seed_density,survey_year,longitude,latitude,elevation,plot_size,botanist,givd_id,source,NMDS1,NMDS2,mean_reference,sd_reference,recovery_completeness
L1_07_2019,L1_07,1,V37,2019,south,25,15,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.3306566803450598,-0.0466754853090377,0.478,0.186,-0.809
L1_07_2020,L1_07,1,V37,2020,south,25,15,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.2626766266247111,0.11915146150326862,0.478,0.186,-0.741
L1_07_2021,L1_07,1,R,2021,south,25,15,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.028606699287257113,0.07976785905578294,0.478,0.186,-0.507
L1_07_seeded,L1_07,1,R22,seeded,south,25,15,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8921255035382722,-0.48329129599088,0.478,0.186,0.414
L1_08_2018,L1_08,1,V37,2018,south,25,15,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.1229837587573284,-0.2862245465025167,0.512,0.337,-1.635
L1_08_2019,L1_08,1,V37,2019,south,25,15,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4075187500468104,0.09817379924089484,0.512,0.337,-0.92
L1_08_2020,L1_08,1,V37,2020,south,25,15,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,0.008646272980995065,0.3313735975670889,0.512,0.337,-0.503
L1_08_2021,L1_08,1,V37,2021,south,25,15,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.23579152279295607,0.25015523959701597,0.512,0.337,-0.748
L1_08_seeded,L1_08,1,R1A,seeded,south,25,15,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,1.0998573470865922,0.35569408702530814,0.512,0.337,0.588
L1_09_2018,L1_09,1,V37,2018,south,50,15,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.2519562940357296,0.03801185228046452,0.478,0.186,-1.73
L1_09_2019,L1_09,1,V37,2019,south,50,15,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5394365311424972,0.15821600782029283,0.478,0.186,-1.017
L1_09_2020,L1_09,1,V37,2020,south,50,15,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.24184694104529228,0.4605265728035592,0.478,0.186,-0.72
L1_09_2021,L1_09,1,V37,2021,south,50,15,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.13641397069063516,0.27211728515112177,0.478,0.186,-0.614
L1_09_seeded,L1_09,1,R22,seeded,south,50,15,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6775614684138737,-0.5910038910440908,0.478,0.186,0.2
L1_10_2018,L1_10,1,V37,2018,south,50,15,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.050165383582992,-0.20054463641716358,0.478,0.186,-1.528
L1_10_2019,L1_10,1,V37,2019,south,50,15,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4203075930907467,0.22654694386874358,0.478,0.186,-0.898
L1_10_2020,L1_10,1,V37,2020,south,50,15,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.3520409204632486,0.29286358093828907,0.478,0.186,-0.83
L1_10_2021,L1_10,1,V37,2021,south,50,15,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.11651802158480618,0.24448793230021468,0.478,0.186,-0.595
L1_10_seeded,L1_10,1,R22,seeded,south,50,15,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8918975940101646,-0.4138937812916936,0.478,0.186,0.414
L1_11_2018,L1_11,1,V37,2018,south,50,15,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.8264868370862498,-0.24976771587072716,0.512,0.337,-1.338
L1_11_2019,L1_11,1,V37,2019,south,50,15,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.2564047214270374,-0.038827158708401116,0.512,0.337,-0.768
L1_11_2020,L1_11,1,V37,2020,south,50,15,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.11530264377988873,0.23748119237414142,0.512,0.337,-0.627
L1_11_2021,L1_11,1,R1A,2021,south,50,15,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.1310885899749503,0.2552117691922033,0.512,0.337,-0.643
L1_11_seeded,L1_11,1,R1A,seeded,south,50,15,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8822402467121447,0.47663327959227797,0.512,0.337,0.37
L1_12_2018,L1_12,1,V37,2018,south,50,15,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0872287029111374,0.07850798325400839,0.512,0.337,-1.599
L1_12_2019,L1_12,1,V38,2019,south,50,15,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5638869384148867,0.46896951924397,0.512,0.337,-1.076
L1_12_2020,L1_12,1,V38,2020,south,50,15,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.16934180100625795,0.5546896632827286,0.512,0.337,-0.681
L1_12_2021,L1_12,1,V38,2021,south,50,15,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.44321322743158725,0.811317836458609,0.512,0.337,-0.955
L1_12_seeded,L1_12,1,R1A,seeded,south,50,15,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6429689660509466,0.6508247266173595,0.512,0.337,0.131
L1_13_2018,L1_13,1,V37,2018,south,0,30,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0167791324844295,0.06255061513627262,0.512,0.337,-1.529
L1_13_2019,L1_13,1,V37,2019,south,0,30,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.7027927894992876,0.2376799882453587,0.512,0.337,-1.215
L1_13_2020,L1_13,1,V37,2020,south,0,30,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.408780426172779,0.439263126861129,0.512,0.337,-0.921
L1_13_2021,L1_13,1,V37,2021,south,0,30,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.11383640169794872,0.37239999881923835,0.512,0.337,-0.626
L1_13_seeded,L1_13,1,R1A,seeded,south,0,30,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,1.250287310256663,0.24075707326568394,0.512,0.337,0.738
L1_14_2018,L1_14,1,V37,2018,south,0,30,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0241747694256689,-0.4362981092755808,0.478,0.186,-1.502
L1_14_2019,L1_14,1,V37,2019,south,0,30,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.40938554006062283,0.14073189711150633,0.478,0.186,-0.887
L1_14_2020,L1_14,1,V37,2020,south,0,30,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.21880638795761884,0.6915067502317227,0.478,0.186,-0.697
L1_14_2021,L1_14,1,R,2021,south,0,30,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.015235969758670826,0.5343095596386965,0.478,0.186,-0.493
L1_14_seeded,L1_14,1,R22,seeded,south,0,30,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6644732124994206,-0.7885061704487902,0.478,0.186,0.186
L1_15_2018,L1_15,1,V37,2018,south,0,30,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.405970014857786,-0.09847320814703524,0.512,0.337,-1.918
L1_15_2019,L1_15,1,V37,2019,south,0,30,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.38159556220667223,0.21529934889230615,0.512,0.337,-0.894
L1_15_2020,L1_15,1,V37,2020,south,0,30,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.24480402131318468,0.440706124810155,0.512,0.337,-0.757
L1_15_2021,L1_15,1,R,2021,south,0,30,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.4254351664618205,0.5202349808426073,0.512,0.337,-0.937
L1_15_seeded,L1_15,1,R1A,seeded,south,0,30,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,1.026312943484831,0.31509032626926936,0.512,0.337,0.514
L1_16_2018,L1_16,1,V37,2018,south,0,30,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.212642687443178,0.006099654940598537,0.478,0.186,-1.691
L1_16_2019,L1_16,1,V37,2019,south,0,30,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.6428045872500635,0.15704898434029518,0.478,0.186,-1.121
L1_16_2020,L1_16,1,V15,2020,south,0,30,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.4357835743292117,0.541586215099809,0.478,0.186,-0.914
L1_16_2021,L1_16,1,V37,2021,south,0,30,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.10610651228346132,0.3141242705352617,0.478,0.186,-0.584
L1_16_seeded,L1_16,1,R22,seeded,south,0,30,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.7903102695207506,-0.7707494989146205,0.478,0.186,0.312
L1_17_2018,L1_17,1,V37,2018,south,25,30,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.0616406881506046,-0.11532137165398235,0.478,0.186,-1.54
L1_17_2019,L1_17,1,V37,2019,south,25,30,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4647141279720069,0.03379446124771327,0.478,0.186,-0.943
L1_17_2020,L1_17,1,R,2020,south,25,30,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.13301329432225673,0.12298452736307557,0.478,0.186,-0.611
L1_17_2021,L1_17,1,V15,2021,south,25,30,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.21164095465635707,0.645664995359421,0.478,0.186,-0.69
L1_17_seeded,L1_17,1,R22,seeded,south,25,30,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8146896071293794,-0.6919664477907012,0.478,0.186,0.337
L1_18_2018,L1_18,1,V37,2018,south,25,30,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.9353527659966107,0.12786501473861153,0.512,0.337,-1.447
L1_18_2019,L1_18,1,V37,2019,south,25,30,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.35669097667799265,0.11131007746633845,0.512,0.337,-0.869
L1_18_2020,L1_18,1,V37,2020,south,25,30,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.2511513509319188,0.4032602201303966,0.512,0.337,-0.763
L1_18_2021,L1_18,1,R,2021,south,25,30,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.18576734969105113,0.3743817854375081,0.512,0.337,-0.698
L1_18_seeded,L1_18,1,R1A,seeded,south,25,30,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8018879876605546,0.5681964235351373,0.512,0.337,0.29
L1_19_2018,L1_19,1,V37,2018,south,25,30,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.1958665738960872,0.049947732179344895,0.512,0.337,-1.708
L1_19_2019,L1_19,1,V37,2019,south,25,30,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4532605199613606,0.22485557212485818,0.512,0.337,-0.965
L1_19_2020,L1_19,1,V37,2020,south,25,30,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.007271065329252757,0.6647155608130372,0.512,0.337,-0.519
L1_19_2021,L1_19,1,V37,2021,south,25,30,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.2587999055234621,0.9630532891692828,0.512,0.337,-0.771
L1_19_seeded,L1_19,1,R,seeded,south,25,30,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,1.1528331675973966,0.3147488633408297,0.512,0.337,0.641
L1_20_2018,L1_20,1,V37,2018,south,25,30,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.4188300881497846,0.0312809033404128,0.478,0.186,-1.897
L1_20_2019,L1_20,1,V37,2019,south,25,30,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4526306107759062,0.08415792742609304,0.478,0.186,-0.931
L1_20_2020,L1_20,1,V37,2020,south,25,30,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.17448897628399515,0.1783302129814402,0.478,0.186,-0.652
L1_20_2021,L1_20,1,V37,2021,south,25,30,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.07916923716735759,0.5438241157724418,0.478,0.186,-0.557
L1_20_seeded,L1_20,1,R22,seeded,south,25,30,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.7624157338242444,-0.5131221418203822,0.478,0.186,0.284
L1_21_2018,L1_21,1,V37,2018,south,50,30,hay_meadow,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.9473938883667937,-0.3268048597593651,0.478,0.186,-1.425
L1_21_2019,L1_21,1,V38,2019,south,50,30,hay_meadow,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.5955464766936389,0.27534715765042794,0.478,0.186,-1.074
L1_21_2020,L1_21,1,V38,2020,south,50,30,hay_meadow,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.35133092457146514,0.42731839013854095,0.478,0.186,-0.829
L1_21_2021,L1_21,1,V37,2021,south,50,30,hay_meadow,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.07024511887561945,0.3153901127867713,0.478,0.186,-0.548
L1_21_seeded,L1_21,1,R22,seeded,south,50,30,hay_meadow,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.6413669672984986,-0.5646305028374963,0.478,0.186,0.163
L1_22_2018,L1_22,1,V37,2018,south,50,30,dry_grassland,8,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.045867899068045,-0.10369811192608959,0.512,0.337,-1.558
L1_22_2019,L1_22,1,V37,2019,south,50,30,dry_grassland,8,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.4683003987894777,0.32237992675237614,0.512,0.337,-0.98
L1_22_2020,L1_22,1,V37,2020,south,50,30,dry_grassland,8,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.35867408367439607,0.48373711811327796,0.512,0.337,-0.871
L1_22_2021,L1_22,1,V37,2021,south,50,30,dry_grassland,8,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.12951540930209526,0.4849997936813235,0.512,0.337,-0.642
L1_22_seeded,L1_22,1,R1A,seeded,south,50,30,dry_grassland,8,seeded,1287752,4883856,314,6,NA,NA,experiment,0.9601039296717702,0.4911999062575078,0.512,0.337,0.448
L1_23_2018,L1_23,1,V37,2018,south,50,30,hay_meadow,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-1.224039111883079,0.00948080035256187,0.478,0.186,-1.702
L1_23_2019,L1_23,1,V15,2019,south,50,30,hay_meadow,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.8249916560189232,0.1801655030329568,0.478,0.186,-1.303
L1_23_2020,L1_23,1,V15,2020,south,50,30,hay_meadow,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.44653470642073,0.37036214436414283,0.478,0.186,-0.925
L1_23_2021,L1_23,1,V37,2021,south,50,30,hay_meadow,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,-0.35788199406167265,0.6034892969895971,0.478,0.186,-0.836
L1_23_seeded,L1_23,1,R22,seeded,south,50,30,hay_meadow,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.8704723672383974,-0.4519103599264576,0.478,0.186,0.392
L1_24_2018,L1_24,1,V37,2018,south,50,30,dry_grassland,4,2018,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.9725126639127497,-0.01838219058463985,0.512,0.337,-1.485
L1_24_2019,L1_24,1,V38,2019,south,50,30,dry_grassland,4,2019,1287752,4883856,314,6,Linda Weggler,NA,experiment,-0.6492496063399555,0.1477385161434734,0.512,0.337,-1.161
L1_24_2020,L1_24,1,V38,2020,south,50,30,dry_grassland,4,2020,1287752,4883856,314,6,Jakob Huber,NA,experiment,-0.3389360440283286,0.26004059915656347,0.512,0.337,-0.851
L1_24_2021,L1_24,1,V38,2021,south,50,30,dry_grassland,4,2021,1287752,4883856,314,6,Markus Bauer,NA,experiment,0.042730001009453886,0.46002140467298913,0.512,0.337,-0.469
L1_24_seeded,L1_24,1,R1A,seeded,south,50,30,dry_grassland,4,seeded,1287752,4883856,314,6,NA,NA,experiment,0.9349697554400147,0.2829752412422368,0.512,0.337,0.423
L2_01_2018,L2_01,2,V37,2018,south,0,15,hay_meadow,8,2018,1288117,4883853,314,6,Jakob Huber,NA,experiment,-1.0150442984128958,-0.2649400991572885,0.478,0.186,-1.493
L2_01_2019,L2_01,2,V37,2019,south,0,15,hay_meadow,8,2019,1288117,4883853,314,6,Linda Weggler,NA,experiment,-0.4349149899034843,0.10225513383597874,0.478,0.186,-0.913
L2_01_2020,L2_01,2,V37,2020,south,0,15,hay_meadow,8,2020,1288117,4883853,314,6,Jakob Huber,NA,experiment,-0.35279120132850716,0.2755738503067289,0.478,0.186,-0.831
L2_01_2021,L2_01,2,R,2021,south,0,15,hay_meadow,8,2021,1288117,4883853,314,6,Markus Bauer,NA,experiment,-0.3063835707481954,0.4079640821725533,0.478,0.186,-0.784
L2_01_seeded,L2_01,2,R22,seeded,south,0,15,hay_meadow,8,seeded,1288117,4883853,314,6,NA,NA,experiment,0.8950153185919326,-0.4293482182783445,0.478,0.186,0.417
L2_02_2018,L2_02,2,V37,2018,south,0,15,dry_grassland,8,2018,1288117,4883853,314,6,Jakob Huber,NA,experiment,-1.1809857023173005,-0.08677718239074168,0.512,0.337,-1.693
L2_02_2019,L2_02,2,V37,2019,south,0,15,dry_grassland,8,2019,1288117,4883853,314,6,Linda Weggler,NA,experiment,-0.5724237846322648,0.31692299820256675,0.512,0.337,-1.084
L2_02_2020,L2_02,2,R,2020,south,0,15,dry_grassland,8,2020,1288117,4883853,314,6,Jakob Huber,NA,experiment,-0.23613496264936956,0.4472992410067053,0.512,0.337,-0.748
L2_02_2021,L2_02,2,R,2021,south,0,15,dry_grassland,8,2021,1288117,4883853,314,6,Markus Bauer,NA,experiment,-0.28501772318699814,0.663146469836224,0.512,0.337,-0.797
L2_02_seeded,L2_02,2,R1A,seeded,south,0,15,dry_grassland,8,seeded,1288117,4883853,314,6,NA,NA,experiment,1.1437010410384068,0.4940976721353208,0.512,0.337,0.632
L2_03_2018,L2_03,2,V37,2018,south,0,15,hay_meadow,4,2018,1288117,4883853,314,6,Jakob Huber,NA,experiment,-1.3781435355878644,-0.207362046414584,0.478,0.186,-1.856
L2_03_2019,L2_03,2,V37,2019,south,0,15,hay_meadow,4,2019,1288117,4883853,314,6,Linda Weggler,NA,experiment,-0.3790978124708488,-0.14407849967094646,0.478,0.186,-0.857
L2_03_2020,L2_03,2,R22,2020,south,0,15,hay_meadow,4,2020,1288117,4883853,314,6,Jakob Huber,NA,experiment,-0.04970752114967051,0.16043590361900728,0.478,0.186,-0.528
L2_03_2021,L2_03,2,R22,2021,south,0,15,hay_meadow,4,2021,1288117,4883853,314,6,Markus Bauer,NA,experiment,-0.1212978388364642,0.24350690860100124,0.478,0.186,-0.599
L2_03_seeded,L2_03,2,R22,seeded,south,0,15,hay_meadow,4,seeded,1288117,4883853,314,6,NA,NA,experiment,0.8679452627207745,-0.5388912913092669,0.478,0.186,0.39
L2_04_2018,L2_04,2,V37,2018,south,0,15,dry_grassland,4,2018,1288117,4883853,314,6,Jakob Huber,NA,experiment,-1.1733911382121998,0.054672746870979255,0.512,0.337,-1.685
L2_04_2019,L2_04,2,V37,2019,south,0,15,dry_grassland,4,2019,1288117,4883853,314,6,Linda Weggler,NA,experiment,-0.4507323869362149,0.18711457845437876,0.512,0.337,-0.963
