id,plot,site,longitude,latitude,elevation,plot_size,exposition,orientation,sand_ratio,substrate_depth,target_type,seed_density,survey_year,B,C,D,presabu,persistence
L1_01_2018,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2018,0.8,0.2,1,presence,19.999999999999996
L1_01_2018,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2018,0.545,0.455,1,abundance,45.49999999999999
L1_01_2019,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2019,0.325,0.325,0.65,presence,67.5
L1_01_2019,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2019,0.5778,0.3802,0.9581,abundance,42.22
L1_01_2020,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2020,0.4324,0.3514,0.7838,presence,56.76
L1_01_2020,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2020,0.5577,0.3673,0.925,abundance,44.230000000000004
L1_01_2021,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2021,0.2826,0.413,0.6957,presence,71.74000000000001
L1_01_2021,L1_01,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,4,2021,0.493,0.4235,0.9166,abundance,50.7
L1_02_2018,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2018,0.8,0.2,1,presence,19.999999999999996
L1_02_2018,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2018,0.6079,0.3921,1,abundance,39.21
L1_02_2019,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2019,0.5625,0.3125,0.875,presence,43.75
L1_02_2019,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2019,0.6329,0.3171,0.95,abundance,36.71
L1_02_2020,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2020,0.4595,0.3784,0.8378,presence,54.05
L1_02_2020,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2020,0.5782,0.3698,0.948,abundance,42.17999999999999
L1_02_2021,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2021,0.425,0.425,0.85,presence,57.49999999999999
L1_02_2021,L1_02,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,4,2021,0.4828,0.4411,0.924,abundance,51.72
L1_03_2018,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2018,0.7037,0.2222,0.9259,presence,29.630000000000003
L1_03_2018,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2018,0.5819,0.4123,0.9942,abundance,41.81
L1_03_2019,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2019,0.6429,0.2143,0.8571,presence,35.709999999999994
L1_03_2019,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2019,0.6013,0.3512,0.9525,abundance,39.870000000000005
L1_03_2020,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2020,0.4595,0.3784,0.8378,presence,54.05
L1_03_2020,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2020,0.5145,0.4392,0.9538,abundance,48.550000000000004
L1_03_2021,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2021,0.5,0.3889,0.8889,presence,50
L1_03_2021,L1_03,1,1287752,4883856,314,4,south,land,0,15,dry_grassland,8,2021,0.5901,0.3478,0.9379,abundance,40.99
L1_04_2018,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2018,0.7692,0.2308,1,presence,23.080000000000002
L1_04_2018,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2018,0.5479,0.4521,1,abundance,45.209999999999994
L1_04_2019,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2019,0.5758,0.3636,0.9394,presence,42.42
L1_04_2019,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2019,0.6142,0.3796,0.9938,abundance,38.580000000000005
L1_04_2020,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2020,0.4474,0.3947,0.8421,presence,55.26
L1_04_2020,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2020,0.5988,0.383,0.9818,abundance,40.12
L1_04_2021,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2021,0.4722,0.3611,0.8333,presence,52.78
L1_04_2021,L1_04,1,1287752,4883856,314,4,south,land,0,15,hay_meadow,8,2021,0.5869,0.3408,0.9277,abundance,41.31
L1_05_2018,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2018,0.7037,0.2222,0.9259,presence,29.630000000000003
L1_05_2018,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2018,0.7481,0.2444,0.9925,abundance,25.19
L1_05_2019,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2019,0.325,0.325,0.65,presence,67.5
L1_05_2019,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2019,0.5748,0.3479,0.9227,abundance,42.52
L1_05_2020,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2020,0.2791,0.3488,0.6279,presence,72.09
L1_05_2020,L1_05,1,1287752,4883856,314,4,south,land,25,15,hay_meadow,8,2020,0.5642,0.3701,0.9343,abundance,43.58
